Product,Manufacturer,Status,Indication
Opdivo-Yervoy(nivolumab-ipilimumab),Bristol Myers Squibb Canada Inc.,Concluded with an LOI,"Metastatic or recurrent NSCLC with no EGFR or ALK genomic tumor aberrations, first-line treatment (in combination with ipilimumab and 2 cycles of platinum-based chemotherapy)"
Kyprolis(carfilzomib),Amgen Canada Inc.,Concluded with an LOI,Multiple Myeloma (including relapsed)
Padcev(enfortumab vedotin),Seagen Canada Inc.,Concluded with an LOI,"Unresectable, locally advanced or metastatic urothelial cancer in adult patients who have previously received a platinum-containing chemotherapy and programmed death receptor-1 or programmed death-ligand 1 inhibitor therapy"
Ontruzant(trastuzumab),Organon Canada Inc.,Concluded with an LOI,Metastatic breast cancer (HER2-positive) in patients with who have not received prior antiHER2 therapy or chemotherapy for metastatic disease; Early Breast Cancer (EBC); Metastatic Breast Cancer (MBC); and Metastatic Gastric Cancer (MGC)
Mvasi(bevacizumab),Amgen Canada Inc.,Concluded with an LOI,"Carcinoma of the colon or rectum, metastatic, first-line treatment in combination with fluoropyrimidine based chemotherapy or patients with unresectable advanced, metastatic or recurrent non-squamous non-small cell lung cancer, in combination with carboplatin/paclitaxel chemotherapy regimen"
Opsynvi(macitentan and tadalafil),Janssen Inc.,Concluded without agreement,Pulmonary Arterial Hypertension
Emgality(galcanezumab),Eli Lilly Canada Inc.,Concluded with an LOI,"Migraine, prevention"
Reblozyl(luspatercept),Celgene Inc.,Concluded with an LOI,Myelodysplastic Syndromes Associated Anemia
Brukinsa(zanubrutinib),"BeiGene, Ltd.",Concluded with an LOI,Waldenström's Macroglobulinemia
Ledaga(chlormethine hydrochloride),Recordati Rare Diseases Canada Inc.,Concluded without agreement,Mycosis fungoides-type cutaneous T-cell lymphoma (MF-CTCL)
Evenity(romosozumab),Amgen Canada Inc.,Concluded with an LOI,Osteoporosis
MAR-Trientine(trientine),Marcan Pharmaceuticals Inc.,Concluded with an LOI,Wilson's Disease
Tukysa(tucatinib),Seagen Canada Inc.,Concluded with an LOI,"Breast cancer, locally advanced unresectable or metastatic, HER2-positive, including patients with brain metastases, who have received prior treatment with trastuzumab, pertuzumab, and trastuzumab emtansine, separately or in combination (in combination with trastuzumab and capecitabine)"
Abecma(idecabtagene vicleucel),Celgene Inc.,Negotiations were not pursued,"Multiple myeloma (MM) in adult patients who have received at least three prior lines of therapy, including a proteasome inhibitor, an immunomodulatory agent, and an anti-CD38 antibody, and who are refractory to their last treatment."
Zaxine(rifaximin),Lupin Pharma Canada Ltd.,Concluded with an LOI,Hepatic Encephalopathy
Keytruda(pembrolizumab),Merck Canada Inc.,Concluded with an LOI,"Adult and pediatric patients with refractory or relapsed classical Hodgkin Lymphoma (cHL), as monotherapy, who have failed autologous stem cell transplant (ASCT) or who are not candidates for multi-agent salvage chemotherapy and ASCT"
Aybintio(bevacizumab),Organon Canada Inc.,Concluded with an LOI,"Metastatic Colorectal Cancer (mCRC); Locally Advanced, Metastatic or Recurrent Non-Small Cell Lung Cancer (NSCLC); Platinum-Sensitive Recurrent Epithelial Ovarian, Fallopian Tube and Primary Peritoneal Cancer; Platinum-Resistant Recurrent Epithelial Ovarian, Fallopian Tube and Primary Peritoneal Cancer; and Malignant Glioma (WHO Grade IV) - Glioblastoma"
Onureg(azacitidine),Celgene Inc.,Concluded with an LOI,"Acute myeloid leukemia (AML), Maintenance therapy in adult patients who achieved complete remission (CR) or complete remission with incomplete blood count recovery (CRi) following induction therapy with or without consolidation treatment, and who are not eligible for hematopoietic stem cell transplantation (HSCT)"
Abrilada(adalimumab),Pfizer Canada ULC,Concluded with an LOI,"Rheumatoid arthritis, polyarticular juvenile idiopathic arthritis, psoriatic arthritis, ankylosing spondylitis, Crohn’s disease, ulcerative colitis, hidradenitis suppurativa, plaque psoriasis, uveitis"
Yuflyma(adalimumab),Celltrion Healthcare Canada Ltd.,Concluded with an LOI,"Rheumatoid arthritis, polyarticular juvenile idiopathic arthritis, psoriatic arthritis, ankylosing spondylitis, Crohn’s disease, ulcerative colitis, hidradenitis suppurativa, plaque psoriasis, uveitis"
Kirsty(insulin aspart),"BGP Pharma ULC, d.b.a. Viatris Canada",Concluded without agreement,"Diabetes Mellitus, Type 1 & 2"
Givlaari(givosiran),Alnylam Netherlands B.V.,Concluded with an LOI,Acute Hepatic Porphyria
Xeomin(incobotulinumtoxinA),Merz Therapeutics Canada,Concluded without agreement,Chronic Sialorrhea associated with neurological disorders
Perseris(risperidone),HLS Therapeutics Inc.,Concluded without agreement,Schizophrenia
Inqovi(decitabine-cedazuridine),Taiho Pharma Canada Inc.,Concluded without agreement,"Myelodysplastic syndromes (MDS) including previously treated and untreated, de novo and secondary MDS with the following French-American-British subtypes (refractory anemia, refractory anemia with ringed sideroblasts, refractory anemia with excess blasts, and chronic myelomonocytic leukemia [CMML]) and intermediate-1, intermediate-2, and high-risk International Prognostic Scoring System (IPSS) groups, in adult patients"
Saxenda(liraglutide),Novo Nordisk Canada Inc.,Negotiations were not pursued,Chronic weight management
Vitrakvi(larotrectinib),Bayer Inc.,Concluded with an LOI,"Solid tumours in adult and pediatric patients that: have a neurotrophic tyrosine receptor kinase (NTRK) gene fusion without a known acquired resistance mutation; are metastatic or where surgical resection is likely to result in severe morbidity, and; have no satisfactory treatment options."
Breztri Aerosphere(budesonide/glycopyrronium/ formeterol fumarate dihydrate),AstraZeneca Canada Inc.,Concluded with an LOI,Chronic Obstructive Pulmonary Disease (COPD)
Trikafta(elexacaftor/tezacaftor/ivacaftor and ivacaftor),Vertex Pharmaceuticals (Canada) Incorporated,Concluded with an LOI,"Cystic Fibrosis, F508del CFTR mutation"
Vyxeos(daunorubicin and cytarabine),Jazz Pharmaceuticals Canada Inc.,Concluded with an LOI,"Acute myeloid leukemia with myelodysplasia-related changes (AML-MRC) or newly diagnosed therapy-related acute myeloid leukaemia (t-AML) , in adults"
Tecartus(brexucabtagene autoleucel),Gilead Sciences Canada Inc.,Concluded with an LOI,"Mantle cell lymphoma (MCL), relapsed or refractory, in adult patients who have received treatment with a Bruton’s tyrosine kinase inhibitor (BTKi)"
Evrysdi(risdiplam),Hoffmann-La Roche Ltd.,Concluded with an LOI,Spinal Muscular Atrophy
Rinvoq(upadacitinib),AbbVie Corporation,Concluded with an LOI,Psoriatic Arthritis
Entuzity KwikPen(human insulin),Eli Lilly Canada Inc.,Concluded with an LOI,"Diabetes Mellitus, Type 1 & 2"
Jorveza(budesonide),AVIR Pharma Inc.,Concluded without agreement,Eosinophilic Esophagitis (Maintenance)
Venclexta(venetoclax),AbbVie Corporation,Negotiations were not pursued,"Acute myeloid leukemia (AML) Newly diagnosed in patients who are 75 years or older, or who have comorbidities that preclude use of intensive induction chemotherapy (In combination with low-dose cytarabine)"
Venclexta(venetoclax),AbbVie Corporation,Concluded with an LOI,"Acute myeloid leukemia (AML) newly diagnosed in patients who are 75 years or older, or who have comorbidities that preclude use of intensive induction chemotherapy (in combination with azacitidine)"
Entresto(sacubitril/valsartan),Novartis Pharmaceuticals Canada Inc.,Concluded with an LOI,"Heart failure, NYHA class II or III"
Opdivo-Yervoy(nivolumab-ipilimumab),Bristol Myers Squibb Canada Inc.,Concluded with an LOI,Unresectable malignant pleural mesothelioma (MPM) in adult patients who have not received prior systemic therapy for MPM (in combination with ipilimumab)
Keytruda(pembrolizumab),Merck Canada Inc.,Concluded with an LOI,"Unresectable or metastatic microsatellite instability-high (MSI-H) or mismatch repair deficient (dMMR) colorectal cancer (CRC), for first-line treatment of adult patients"
Imfinzi(durvalumab),AstraZeneca Canada Inc.,Concluded with an LOI,"Extensive-stage small cell lung cancer (ES-SCLC) in adult patients, first-line treatment (in combination with etoposide and either carboplatin or cisplatin)"
Braftovi(encorafenib),Pfizer Canada ULC,Concluded with an LOI,"Metastatic colorectal cancer (mCRC)  in patients with a BRAF V600E mutation, as detected by a validated test, after prior therapy (in combination with cetuximab)"
Braftovi/Mektovi(encorfenib/binimetinib),Pfizer Canada ULC,Concluded with an LOI,"Unresectable or metastatic melanoma with a BRAF V600 mutation, as detected by a validated test, (encorafenib and binimetinib in combination)"
Unituxin(dinutuximab),United Therapeutics,Concluded with an LOI,"High-risk Neuroblastoma in patients in their first relapse or determination of refractory disease, in combination with irinotecan, temozolomide, and granulocyte macrophage colony-stimulating factor"
Inrebic(fedrantinib),Celgene Inc.,Concluded with an LOI,"Splenomegaly and/or disease-related symptoms in adult patients with intermediate-2 or high-risk primary myelofibrosis, post-polycythemia vera myelofibrosis or post-essential thrombocythemia myelofibrosis, including patients who have been previously exposed to ruxolitinib"
Zeposia(ozanimod),Celgene Inc.,Negotiations were not pursued,"Multiple Sclerosis, Relapsing-Remitting"
Rybelsus(semaglutide),Novo Nordisk Canada Inc.,Concluded without agreement,"Diabetes Mellitus, Type 2"
Insulin pumps and pump supplies(Insulin pumps and pump supplies),"Tandem Diabetes Care Canada, Inc.",Concluded with an LOI,"Diabetes Mellitus, Type 1 & 2"
Veltassa(patiromer),Otsuka Canada Pharmaceutical Inc.,Concluded without agreement,Hyperkalemia
Reblozyl(luspatercept),Celgene Inc.,Concluded with an LOI,Beta-Thalassemia Associated Anemia
Dupixent(dupilumab),Sanofi Genzyme Canada,Concluded without agreement,Asthma
Tafinlar/Mekinist(dabrafenib/trametinib),Novartis Pharmaceuticals Canada Inc.,Concluded without agreement,Metastatic non-small cell lung cancer (NSCLC) with a BRAF V600 mutation in patients who have not received any prior anti-cancer therapy for metastatic disease
Ilumya(tildrakizumab),Sun Pharma Canada Inc.,Concluded with an LOI,"Psoriasis, moderate to severe plaque"
Simlandi(adalimumab),Jamp Pharma Corporation,Concluded with an LOI,"Rheumatoid arthritis, polyarticular juvenile idiopathic arthritis, psoriatic arthritis, ankylosing spondylitis, Crohn’s disease, ulcerative colitis, hidradenitis suppurativa, plaque psoriasis, uveitis"
Corzyna(ranolazine),KYE Pharmaceuticals Inc.,Concluded without agreement,Angina Pectoris
Zejula(Niraparib),GlaxoSmithKline Inc.,Concluded with an LOI,"Ovarian Cancer: Maintenance treatment of adult patients with advanced epithelial ovarian, fallopian tube, or primary peritoneal cancer who are in a complete or partial response to first-line platinum-based chemotherapy"
Odomzo(sonidegib),Sun Pharma Canada Inc.,Negotiations were not pursued,"Basal Cell Carcinoma (BCC), locally advanced in adult patients with histologically confirmed laBCC that is not amenable to radiation therapy or curative surgery"
Bambevi(bevacizumab),Apotex Inc.,Concluded with an LOI,"Metastatic Colorectal Cancer (mCRC) Locally Advanced, Metastatic or Recurrent Non-Small Cell Lung Cancer (NSCLC) Platinum-Resistant Recurrent Epithelial Ovarian, Fallopian Tube and Primary Peritoneal Cancer Malignant Glioma (WHO Grade IV) - Glioblastoma"
Polivy(Polatuzumab Vedotin),Hoffmann-La Roche Ltd.,Concluded with an LOI,"Diffuse large B-cell lymphoma not otherwise specified (DLBCL NOS), relapsed or refractory, in adult patients who are not eligible for autologous stem cell transplant & have received at least one prior therapy (In combination with bendamustine & rituximab)"
Alunbrig(brigatinib),Takeda Canada Inc.,Concluded with an LOI,"Non-small cell lung cancer (NSCLC), anaplastic lymphoma kinase (ALK)-positive, locally advanced (not amenable to curative therapy) or metastatic, previously untreated with an ALK inhibitor, in adult patients"
Lynparza(olaparib),AstraZeneca Canada Inc.,Concluded with an LOI,"Metastatic Castration-Resistant Prostate Cancer and Deleterious or suspected deleterious germline/somatic mutations in the HRR genes BRCA or ATM, monotherapy for the treatment of adult patients with mCRPC who have progressed following prior treatment with a NHA"
Rozlytrek(Entrectinib),Hoffmann-La Roche Ltd.,Concluded with an LOI,ROS1-positive Non-Small Cell Lung Cancer
Ruzurgi(Amifampridine),Médunik Canada Inc.,Concluded without agreement,Lambert-Eaton Myasthenic Syndrome (LEMS)
Enspryng(satralizumab),Hoffmann-La Roche Ltd.,Concluded with an LOI,Neuromyelitis optica spectrum disorder (NMOSD)
Osnuvo(teriparatide),AVIR Pharma Inc.,Concluded with an LOI,Osteoporosis
Sarclisa(Isatuximab),Sanofi Genzyme Canada,Concluded with an LOI,"Multiple myeloma, relapsed and refractory, in patients who have received at least two prior therapies including lenalidomide and a proteasome inhibitor. (in combination with pomalidomide and dexamethasone)"
Remsima SC(infliximab),Celltrion Healthcare Canada Ltd.,Concluded without agreement,Rheumatoid Arthritis
Abevmy(bevacizumab),BGP Pharma ULC,Concluded with an LOI,"Metastatic colorectal cancer (mCRC), locally advanced, metastatic or recurrent non-small cell lung Cancer (NSCLC), platinum-resistant recurrent epithelial ovarian, fallopian tube and primary peritoneal cancer, and glioblastoma"
Bavencio(avelumab),"EMD Serono Canada, a division of EMD Inc.",Concluded with an LOI,"Urothelial carcinoma (UC), first-line maintenance treatment of patients with locally advanced or metastatic whose disease has not progressed with first-line platinum-based induction chemotherapy"
Ajovy(fremanezumab),Teva Canada Ltd.,Concluded with an LOI,Prevention of Migraine in Adults
Entresto(sacubitril/valsartan),Novartis Pharmaceuticals Canada Inc.,Concluded with an LOI,"Heart failure, NYHA class II or III"
Calquence(Acalabrutinib),AstraZeneca Canada Inc.,Concluded with an LOI,"Chronic Lymphocytic Leukemia (CLL) (previously untreated): With or without obinutuzumab, for the treatment of patients with previously untreated chronic lymphocytic leukemia (CLL) for whom a fludarabine-based regimen is inappropriate"
Calquence(Acalabrutinib),AstraZeneca Canada Inc.,Concluded with an LOI,Chronic Lymphocytic Leukemia: As monotherapy for the treatment of patients with chronic lymphocytic leukemia (CLL) who have received at least one prior therapy.
Kynmobi(apomorphine hydrochloride),Sunovion Pharmaceuticals Canada Inc.,Concluded with an LOI,Parkinson's disease
Kesimpta(ofatumumab),Novartis Pharmaceuticals Canada Inc.,Concluded with an LOI,"Multiple Sclerosis, Relapsing-Remitting"
Ofev(nintedanib),Boehringer Ingelheim (Canada) Ltd.,Concluded with an LOI,Chronic fibrosing interstitial lung diseases
Darzalex SC(Daratumumab),Janssen Inc.,Concluded with an LOI,Multiple Myeloma
Daurismo(Glasdegib),Pfizer Canada ULC,Negotiations were not pursued,Acute Myeloid Leukemia (AML)
pdp-levETIRAcetam(levetiracetam),"Pendopharm, a division of Pharmascience Inc.",Concluded with an LOI,Epilepsy
Zolgensma(onasemnogene abeparvovec),Novartis Pharmaceuticals Canada Inc.,Concluded with an LOI,Spinal Muscular Atrophy
Tecentriq & Avastin(Atezolizumab & Bevacizumab),Hoffmann-La Roche Ltd.,Concluded with an LOI,Unresectable or metastatic hepatocellular carcinoma (HCC) in adult patients who require systemic therapy
Keytruda(pembrolizumab),Merck Canada Inc.,Concluded with an LOI,Head and Neck Squamous Cell Carcinoma (HNSCC)
Forxiga(dapagliflozin),AstraZeneca Canada Inc.,Concluded with an LOI,"Heart failure, NYHA class II or III"
Entyvio (SC)(vedolizumab),Takeda Canada Inc.,Concluded with an LOI,Crohn's disease
Venclexta(venetoclax),AbbVie Corporation,Concluded with an LOI,in combination with obinutuzumab for the treatment of adult patients with previously untreated chronic lymphocytic leukemia (CLL) who are fludarabine ineligible.
Adcetris(brentuximab vedotin),Seattle Genetics Inc.,Concluded with an LOI,Hodgkin's Lymphoma
Adcetris(brentuximab vedotin),Seattle Genetics Inc.,Concluded with an LOI,Primary Cutaneous Anaplastic Large Cell Lymphoma (or CD30- Expressing Mycosis Fungoides)
Spravato(esketamine hydrochloride),Janssen Inc.,Negotiations were not pursued,Major Depressive Disorder
Blincyto(blinatumomab),Amgen Canada Inc.,Concluded with an LOI,Minimal Residual Disease (MRD)-Positive B-Cell Precursor Acute Lymphoblastic Leukemia (BCP ALL)
Riabni(rituximab),Amgen Canada Inc.,Concluded with an LOI,"Non-Hodgkin's Lymphoma (NHL), Chronic Lymphocytic Leukemia (CLL), Rheumatoid Arthritis (RA), Granulomatosis with Polyangitis (GPA), Microscopic Polyangitis (MPA)"
Inclunox(enoxaparin),Sandoz Canada Inc.,Concluded with an LOI,Deep vein thrombosis (treatment and prevention)
Noromby(enoxaparin),Juno Pharmaceuticals Corp.,Concluded with an LOI,Deep vein thrombosis (treatment and prevention)
Nyvepria(pegfilgrastim),Pfizer Canada ULC,Concluded with an LOI,Febrile neutropenia in non-myeloid malignancies
Trurapi(insulin aspart),Sanofi-Aventis Canada Inc.,Concluded with an LOI,"Diabetes Mellitus, Type 1 & 2"
Foquest(methylphenidate),Elvium Life Sciences,Concluded with an LOI,Attention-deficit/hyperactivity disorder (ADHD)
Suboxone (film)(buprenorphine and naloxone),Indivior UK Limited,Concluded with an LOI,Opioid Dependence
Atectura Breezhaler(indacaterol /mometasone furoate),Valeo Pharma Inc.,Concluded with an LOI,Asthma
Enerzair Breezhaler(indacaterol/glycopyrronium/mometasone furoate),Valeo Pharma Inc.,Concluded with an LOI,Asthma
Luxturna(voretigene neparvovec),Novartis Pharmaceuticals Canada Inc.,Concluded with an LOI,"Vision loss, inherited retinal dystrophy"
Hadlima(adalimumab),Merck Canada Inc.,Concluded with an LOI,"Rheumatoid arthritis, polyarticular juvenile idiopathic arthritis, psoriatic arthritis, ankylosing spondylitis, Crohn’s disease, ulcerative colitis, hidradenitis suppurativa, plaque psoriasis, uveitis"
Idacio(adalimumab),Fresenius Kabi Canada Ltd.,Concluded with an LOI,"Rheumatoid arthritis, polyarticular juvenile idiopathic arthritis, psoriatic arthritis, ankylosing spondylitis, Crohn’s disease, ulcerative colitis, hidradenitis suppurativa, plaque psoriasis, uveitis"
Hyrimoz(adalimumab),Sandoz Canada Inc.,Concluded with an LOI,"Rheumatoid arthritis, polyarticular juvenile idiopathic arthritis, psoriatic arthritis, ankylosing spondylitis, Crohn’s disease, ulcerative colitis, hidradenitis suppurativa, plaque psoriasis, uveitis"
Amgevita(adalimumab),Amgen Canada Inc.,Concluded with an LOI,"Rheumatoid arthritis, polyarticular juvenile idiopathic arthritis, psoriatic arthritis, ankylosing spondylitis, Crohn’s disease, ulcerative colitis, hidradenitis suppurativa, plaque psoriasis, uveitis"
Hulio(adalimumab),BGP Pharma ULC,Concluded with an LOI,"Rheumatoid arthritis, polyarticular juvenile idiopathic arthritis, psoriatic arthritis, ankylosing spondylitis, Crohn’s disease, ulcerative colitis, hidradenitis suppurativa, plaque psoriasis, uveitis"
Jorveza(budesonide),AVIR Pharma Inc.,Concluded without agreement,Eosinophilic Esophagitis (Induction)
Duobrii(Halobetasol propionate and tazarotene),"Bausch Health, Canada Inc.",Concluded with an LOI,"Psoriasis, moderate to severe plaque"
Nexplanon(etonogestrel),Merck Canada Inc.,Concluded with an LOI,Prevention of Pregnancy
Soliris(eculizumab),Alexion Pharma Canada Corp.,Concluded without agreement,Myasthenia Gravis
Zejula(Niraparib),GlaxoSmithKline Inc.,Concluded with an LOI,"Ovarian Cancer, monotherapy for the maintenance treatment of female adult patients with recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer who are in a complete or partial response to platinum-based chemotherapy"
Xtandi(enzalutamide),Astellas Pharma Inc.,Concluded with an LOI,Metastatic Castration-Sensitive Prostate Cancer
Cablivi(caplacizumab),Sanofi-Aventis Canada Inc.,Negotiations were not pursued,Acquired Thrombotic Thrombocytopenic Purpura (aTTP)
Rituxan SC(rituximab),Hoffmann-La Roche Ltd.,Concluded with an LOI,Multiple Indications
Tecentriq & Avastin(Atezolizumab & Bevacizumab),Hoffmann-La Roche Ltd.,Negotiations were not pursued,Non-Squamous Non-Small Cell Lung Cancer
Aimovig(erenumab),Novartis Pharmaceuticals Canada Inc.,Concluded without agreement,"Migraine, Chronic"
Vocabria and Cabenuva(cabotegravir and rilpivirine),ViiV Healthcare,Concluded with an LOI,HIV-1 Infection
Mayzent(siponimod),Novartis Pharmaceuticals Canada Inc.,Concluded with an LOI,Secondary Progressive Multiple Sclerosis (SPMS)
Vascepa(icosapent ethyl),HLS Therapeutics Inc.,Concluded with an LOI,Ischemic events in statin-treated patients
Stelara(ustekinumab),Janssen Inc.,Concluded without agreement,Ulcerative Colitis
Soliris(eculizumab),Alexion Pharma Canada Corp.,Concluded without agreement,Neuromyelitis optica spectrum disorder (NMOSD)
Darzalex SC(Daratumumab),Janssen Inc.,Concluded without agreement,Multiple Myeloma
Adcetris(brentuximab vedotin),Seattle Genetics Inc.,Concluded with an LOI,Peripheral T-cell Lymphoma (PTCL)
Cuvposa(Glycopyrrolate),"Medexus Pharmaceuticals, Inc.",Concluded with an LOI,Pediatric chronic severe drooling reduction (neurologic)
Xospata(Gilteritinib),Astellas Pharma Inc.,Concluded with an LOI,Acute Myeloid Leukemia (AML)
Aermony Respiclick(fluticasone propionate),Teva Canada Ltd.,Concluded with an LOI,Asthma
Kisqali(ribociclib),Novartis Pharmaceuticals Canada Inc.,Concluded with an LOI,Advanced or Metastatic Breast Cancer
Kalydeco(ivacaftor),Vertex Pharmaceuticals (Canada) Incorporated,Concluded with an LOI,Cystic Fibrosis In Patients with CFTR Gating Mutations or the R117H Gating Mutation
Orkambi(lumacaftor/ivacaftor),Vertex Pharmaceuticals (Canada) Incorporated,Concluded with an LOI,"Cystic Fibrosis, F508del CFTR mutation"
Contrave(naltrexone hydrochloride and bupropion hydrochloride),"Bausch Health, Canada Inc.",Negotiations were not pursued,Chronic weight management
Nubeqa(Darolutamide),Bayer Inc.,Concluded with an LOI,Non-metastatic Castration-resistant prostate cancer
Erleada(apalutamide),Janssen Inc.,Concluded with an LOI,Metastatic Castration-Sensitive Prostate Cancer
Cabometyx(cabozantinib),"Ipsen Biopharmaceuticals Canada, Inc.",Concluded with an LOI,Hepatocellular Carcinoma (HCC) in adults after prior therapy
Crysvita(burosumab),"Kyowa Kirin Canada, Inc.",Concluded with an LOI,X-Linked Hypophosphatemia
Entyvio (SC)(vedolizumab),Takeda Canada Inc.,Concluded with an LOI,Ulcerative Colitis
Dupixent(dupilumab),Sanofi Genzyme Canada,Concluded with an LOI,Atopic dermatitis
Beovu(brolucizumab),Novartis Pharmaceuticals Canada Inc.,Concluded with an LOI,Age-Related Macular Degeneration
Benlysta(belimumab),GlaxoSmithKline Inc.,Concluded with an LOI,Systemic lupus erythematosus
Kisqali (with fulvestrant)(ribociclib with fulvestrant),Novartis Pharmaceuticals Canada Inc.,Concluded with an LOI,Advanced or Metastatic Breast Cancer
Allerject(epinephrine),Kaleo Inc,Concluded with an LOI,For the emergency treatment of severe acute allergic reactions (anaphylaxis).
Otezla(apremilast),Amgen Canada Inc.,Concluded without agreement,Psoriatic Arthritis
Otezla(apremilast),Amgen Canada Inc.,Concluded without agreement,"Psoriasis, moderate to severe plaque"
Avsola(infliximab),Amgen Canada Inc.,Concluded with an LOI,"Ankylosing spondylitis, plaque psoriasis, psoriatic arthritis, rheumatoid arthritis, Crohn’s disease and Ulcerative Colitis"
Nivestym(filgrastim),Pfizer Canada ULC,Concluded with an LOI,Neutropenia in various indications (Prevention or treatment)
Ziextenzo(pegfilgrastim),Sandoz Canada Inc.,Concluded with an LOI,Febrile neutropenia in non-myeloid malignancies
Redesca(enoxaparin),Valeo Pharma Inc.,Concluded with an LOI,"Deep-Vein Thrombosis (treatment), without Symptomatic Pulmonary Embolism"
Kanjinti(trastuzumab),Amgen Canada Inc.,Concluded with an LOI,"Early breast cancer, Metastatic breast cancer, Metastatic gastric cancer"
Envarsus PA(tacrolimus),Paladin Labs Inc.,Concluded with an LOI,Prophylaxis of Organ Rejection in Allogenic Kidney or Liver Transplant Adult Patients
Onstryv(safinamide),Valeo Pharma Inc.,Concluded with an LOI,Parkinson's disease
Monoferric(iron (iii) isomaltoside 1000),Pharmacosmos A/S,Concluded with an LOI,Iron Deficiency Anemia
Lokelma(sodium zirconium cyclosilicate),AstraZeneca Canada Inc.,Negotiations were not pursued,Hyperkalemia
Taltz(ixekizumab),Eli Lilly Canada Inc.,Concluded without agreement,Ankylosing spondylitis
Vyndaqel(tafamidis),Pfizer Canada ULC,Concluded with an LOI,Transthyretin-mediated amyloidosis
Rinvoq(upadacitinib),AbbVie Corporation,Concluded with an LOI,Rheumatoid Arthritis
Lonsurf(trifluridine/tipiracil),Taiho Pharma Canada Inc.,Concluded with an LOI,Metastatic Gastric Cancer
Riximyo(rituximab),Sandoz Canada Inc.,Concluded with an LOI,"Rheumatoid arthritis, chronic lymphocytic leukemia, and non-Hodgkin’s lymphoma"
Ruxience(rituximab),Pfizer Canada ULC,Concluded with an LOI,"Non-Hodgkin's Lymphoma (NHL), Chronic Lymphocytic Leukemia (CLL), Rheumatoid Arthritis (RA), Granulomatosis with Polyangitis (GPA), Microscopic Polyangitis (MPA)"
Lutathera(lutetium 177 dotatate),Advanced Accelerator Applications,Concluded with an LOI,Gastroenteropancreatic neuroendocrine tumors (GEP-NETs)
Baqsimi(glucagon),Eli Lilly Canada Inc.,Concluded with an LOI,Severe Hypoglycemia
Admelog(insulin lispro),Sanofi-Aventis Canada Inc.,Concluded with an LOI,"Diabetes Mellitus, Type 1 & 2"
Lorbrena(lorlatinib),Pfizer Canada ULC,Negotiations were not pursued,Non-Small Cell Lung Cancer (ALK+)
Rydapt(midostaurin),Novartis Pharmaceuticals Canada Inc.,Negotiations were not pursued,Systemic Mastocytosis
Mylotarg(gemtuzumab ozogamicin),Pfizer Canada ULC,Concluded with an LOI,Acute Myeloid Leukemia (AML)
Keytruda(pembrolizumab),Merck Canada Inc.,Concluded with an LOI,Renal Cell Carcinoma
Nerlynx(neratinib),Knight Therapeutics Inc.,Negotiations were not pursued,Hormone Receptor-Positive Breast Cancer
Cimzia(certolizumab pegol),UCB Canada Inc.,Concluded without agreement,"Psoriasis, moderate to severe plaque"
Takhzyro(lanadelumab),Shire Pharma Canada ULC,Concluded with an LOI,Hereditary Angioedema
Revestive(teduglutide),Shire Pharma Canada ULC,Concluded with an LOI,Short Bowel Syndrome (SBS)
Verkazia(cyclosporine),Santen Incorporated,Concluded with an LOI,Severe Vernal Keratoconjunctivitis
Lonsurf(trifluridine/tipiracil),Taiho Pharma Canada Inc.,Negotiations were not pursued,Metastatic Colorectal Cancer
Mezera(mesalazine),AVIR Pharma Inc.,Concluded with an LOI,Ulcerative Colitis
Kadcyla(trastuzumab emtansine),Hoffmann-La Roche Ltd.,Concluded with an LOI,Early Breast Cancer
Darzalex(daratumumab),Janssen Inc.,Concluded with an LOI,Multiple Myeloma
Keytruda(pembrolizumab),Merck Canada Inc.,Concluded with an LOI,Squamous Non-Small Cell Lung Cancer
Tecentriq(atezolizumab),Hoffmann-La Roche Ltd.,Concluded with an LOI,"Extensive stage small cell lung cancer (ES-SCLC), first-line treatment, in combination with a platinum-based chemotherapy and etoposide"
Lynparza(olaparib),AstraZeneca Canada Inc.,Concluded with an LOI,"Ovarian Cancer, monotherapy for the maintenance treatment of female adult patients with recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer who are in a complete or partial response to platinum-based chemotherapy"
Trintellix(vortioxetine),Lundbeck Canada Inc.,Concluded with an LOI,Major Depressive Disorder
Xultophy(insulin degludec/liraglutide),Novo Nordisk Canada Inc.,Concluded without agreement,"Diabetes Mellitus, Type 2"
Dovato(dolutegravir/lamivudine),ViiV Healthcare,Concluded with an LOI,HIV-1 Infection
Iluvien(fluocinolone acetonide),Knight Therapeutics Inc.,Negotiations were not pursued,Diabetic Macular Edema
Emerade(epinephrine bitartrate),"Bausch Health, Canada Inc.",Concluded with an LOI,For the emergency treatment of severe acute allergic reactions (anaphylaxis).
Bosulif(bosutinib),Pfizer Canada ULC,Concluded with an LOI,Chronic Myeloid Leukemia
Olumiant(baricitinib),Eli Lilly Canada Inc.,Concluded with an LOI,Rheumatoid Arthritis
Orfadin Oral Suspension(nitisinone),Sobi Canada Inc.,Concluded without agreement,Hereditary Tyrosinemia Type 1
Onpattro(patisiran),Alnylam Netherlands B.V.,Concluded with an LOI,Hereditary transthyretin-mediated amyloidosis
Tegsedi(inotersen),Akcea Therapeutics Inc.,Concluded with an LOI,Hereditary transthyretin-mediated amyloidosis
