"Drug/device name","Medicinal ingredient","Manufacturer","Outcome","Decision date","Control number / Application number","Type of submission / Type of application"
"AXONICS SACRAL NEUROMODULATION (SNM) SYSTEM","N/A","AXONICS, INC.","Approved","2022-12-08","350325","Amendment device licence application"
"AXONICS SNM SYSTEM","N/A","AXONICS, INC.","Approved","2022-12-08","350328","Amendment device licence application"
"Q-OSS+","N/A","OSSTEM IMPLANT CO. LTD","Approved","2022-12-08","350597","New device licence application"
"HS40 DIAGNOSTIC ULTRASOUND SYSTEM","N/A","SAMSUNG MEDISON CO., LTD.","Approved","2022-12-08","351926","Amendment device licence application"
"INQUIRY STEERABLE DIAGNOSTIC CATHETERS","N/A","ABBOTT MEDICAL","Approved","2022-12-08","352716","New device licence application"
"NUVAXOVID","COVID-19 Vaccine (recombinant protein, adjuvanted)","Novavax Inc.","Authorized","2022-12-06","265342","Supplement to a New Drug Submission"
"PREHEVBRIO","3-antigen Hepatitis B Vaccine (recombinant)","VBI Vaccines Inc.","Authorized","2022-12-06","259302","New Drug Submission (New Active Substance)"
"TOXO IGM TEST KIT","N/A","ROCHE DIAGNOSTICS GMBH","Approved","2022-12-06","352232","Amendment device licence application"
"EXCOR SYSTEM","N/A","BERLIN HEART GMBH","Approved","2022-12-05","344060","Amendment device licence application"
"TENEO 317","N/A","TECHNOLAS PERFECT VISION GMBH","Approved","2022-12-05","352064","Amendment device licence application"
"MAMMOMAT REVELATION","N/A","SIEMENS HEALTHCARE GMBH","Approved","2022-12-02","343907","Amendment device licence application"
"SPACEOAR SYSTEM","N/A","BOSTON SCIENTIFIC CORPORATION","Approved","2022-12-02","346641","Amendment device licence application"
"CATALYFT PL EXPANDABLE INTERBODY SYSTEM","N/A","MEDTRONIC SOFAMOR DANEK USA, INC.","Approved","2022-12-02","351507","Amendment device licence application"
"MAMMOMAT REVELATION","N/A","SIEMENS HEALTHCARE GMBH","Approved","2022-12-02","343907","Amendment device licence application"
"SPACEOAR SYSTEM","N/A","BOSTON SCIENTIFIC CORPORATION","Approved","2022-12-02","346641","Amendment device licence application"
"CATALYFT PL EXPANDABLE INTERBODY SYSTEM","N/A","MEDTRONIC SOFAMOR DANEK USA, INC.","Approved","2022-12-02","351507","Amendment device licence application"
"SIMPLEXA GBS DIRECT","N/A","DIASORIN MOLECULAR LLC","Approved","2022-12-01","344797","New device licence application"
"UNIVERS SHOULDER PROTHESIS SYSTEM","N/A","ARTHREX INC","Approved","2022-12-01","345548","Amendment device licence application"
"CMV IGG AVIDITY","N/A","ROCHE DIAGNOSTICS GMBH","Approved","2022-12-01","350181","Amendment device licence application"
"INFINITY WITH ADAPTIS TECHNOLOGY TOTAL ANKLE SYSTEM","N/A","WRIGHT MEDICAL TECHNOLOGY INC.","Approved","2022-12-01","350517","Amendment device licence application"
"INBONE II TOTAL ANKLE SYSTEM","N/A","WRIGHT MEDICAL TECHNOLOGY INC.","Approved","2022-12-01","350518","Amendment device licence application"
"SFLT-1 (SOLUABLE FMS-LIKE TYROSINE KINASE-1)","N/A","ROCHE DIAGNOSTICS GMBH","Approved","2022-12-01","350544","Amendment device licence application"
"NGEN GENERATOR","N/A","BIOSENSE WEBSTER,INC.","Approved","2022-12-01","350646","Amendment device licence application"
"PLGF (PLACENTAL GROWTH FACTOR)","N/A","ROCHE DIAGNOSTICS GMBH","Approved","2022-12-01","350647","Amendment device licence application"
"QUANTIFERON-TB GOLD PLUS","N/A","QIAGEN SCIENCES LLC","Approved","2022-12-01","352131","Amendment device licence application"
"HOWMEDICA OSTEONICS TRIDENT SYSTEM","N/A","HOWMEDICA OSTEONICS CORPORATION","Approved","2022-12-01","352304","Amendment device licence application"
"TRIDENT HIP SYSTEM","N/A","HOWMEDICA OSTEONICS CORPORATION","Approved","2022-12-01","352305","Amendment device licence application"
"TRIATHLON TOTAL KNEE SYSTEM","N/A","HOWMEDICA OSTEONICS CORPORATION","Approved","2022-12-01","352306","Amendment device licence application"
"TRIATHLON KNEE PKR (PARTIAL KNEE RESURFACING) SYSTEM","N/A","HOWMEDICA OSTEONICS CORPORATION","Approved","2022-12-01","352307","Amendment device licence application"
"RESTORIS MCK (KNEE REPLACEMENT SYSTEM)","N/A","MAKO SURGICAL CORP.","Approved","2022-12-01","352368","Amendment device licence application"
"SIMPLICI-T ANNULOPLASTY SYSTEM","N/A","MEDTRONIC INC.","Approved","2022-12-01","352892","Amendment device licence application"
"CAPSURE STEROID ELUTING PACING LEADS","N/A","MEDTRONIC INC.","Approved","2022-12-01","353642","Amendment device licence application"
"SIMPLEXA GBS DIRECT","N/A","DIASORIN MOLECULAR LLC","Approved","2022-12-01","344797","New device licence application"
"UNIVERS SHOULDER PROTHESIS SYSTEM","N/A","ARTHREX INC","Approved","2022-12-01","345548","Amendment device licence application"
"CMV IGG AVIDITY","N/A","ROCHE DIAGNOSTICS GMBH","Approved","2022-12-01","350181","Amendment device licence application"
"INFINITY WITH ADAPTIS TECHNOLOGY TOTAL ANKLE SYSTEM","N/A","WRIGHT MEDICAL TECHNOLOGY INC.","Approved","2022-12-01","350517","Amendment device licence application"
"INBONE II TOTAL ANKLE SYSTEM","N/A","WRIGHT MEDICAL TECHNOLOGY INC.","Approved","2022-12-01","350518","Amendment device licence application"
"SFLT-1 (SOLUABLE FMS-LIKE TYROSINE KINASE-1)","N/A","ROCHE DIAGNOSTICS GMBH","Approved","2022-12-01","350544","Amendment device licence application"
"NGEN GENERATOR","N/A","BIOSENSE WEBSTER,INC.","Approved","2022-12-01","350646","Amendment device licence application"
"PLGF (PLACENTAL GROWTH FACTOR)","N/A","ROCHE DIAGNOSTICS GMBH","Approved","2022-12-01","350647","Amendment device licence application"
"QUANTIFERON-TB GOLD PLUS","N/A","QIAGEN SCIENCES LLC","Approved","2022-12-01","352131","Amendment device licence application"
"HOWMEDICA OSTEONICS TRIDENT SYSTEM","N/A","HOWMEDICA OSTEONICS CORPORATION","Approved","2022-12-01","352304","Amendment device licence application"
"TRIDENT HIP SYSTEM","N/A","HOWMEDICA OSTEONICS CORPORATION","Approved","2022-12-01","352305","Amendment device licence application"
"TRIATHLON TOTAL KNEE SYSTEM","N/A","HOWMEDICA OSTEONICS CORPORATION","Approved","2022-12-01","352306","Amendment device licence application"
"TRIATHLON KNEE PKR (PARTIAL KNEE RESURFACING) SYSTEM","N/A","HOWMEDICA OSTEONICS CORPORATION","Approved","2022-12-01","352307","Amendment device licence application"
"RESTORIS MCK (KNEE REPLACEMENT SYSTEM)","N/A","MAKO SURGICAL CORP.","Approved","2022-12-01","352368","Amendment device licence application"
"SIMPLICI-T ANNULOPLASTY SYSTEM","N/A","MEDTRONIC INC.","Approved","2022-12-01","352892","Amendment device licence application"
"CAPSURE STEROID ELUTING PACING LEADS","N/A","MEDTRONIC INC.","Approved","2022-12-01","353642","Amendment device licence application"
"BEOVU","Brolucizumab","Novartis Pharmaceuticals Canada Inc.","Authorized","2022-11-30","259754","Supplement to a New Drug Submission"
"CARBON MODULAR RADIAL HEAD (CMRH)","N/A","ASCENSION ORTHOPEDICS INC.","Approved","2022-11-30","338366","New device licence application"
"CARBON MODULAR RADIAL HEAD (CMRH)","N/A","ASCENSION ORTHOPEDICS INC.","Approved","2022-11-30","338366","New device licence application"
"ZAFFIRO","N/A","NEAUVIA NORTH AMERICA","Approved","2022-11-28","347730","New device licence application"
"GUTTA PERCHA POINTS","N/A","KERR CORPORATION","Approved","2022-11-28","350321","Amendment device licence application"
"BTL-785F","N/A","BTL INDUSTRIES LIMITED","Approved","2022-11-28","350923","Amendment device licence application"
"ZAFFIRO","N/A","NEAUVIA NORTH AMERICA","Approved","2022-11-28","347730","New device licence application"
"GUTTA PERCHA POINTS","N/A","KERR CORPORATION","Approved","2022-11-28","350321","Amendment device licence application"
"BTL-785F","N/A","BTL INDUSTRIES LIMITED","Approved","2022-11-28","350923","Amendment device licence application"
"WORKMATE CLARIS SYSTEM","N/A","ST. JUDE MEDICAL","Approved","2022-11-25","345937","Amendment device licence application"
"ANTERALIGN SPINAL SYSTEM WITH TITAN NANOLOCK SURFACE TECHNOLOGY","N/A","MEDTRONIC SOFAMOR DANEK USA, INC.","Approved","2022-11-25","347022","New device licence application"
"THE GRAFT NATURAL BONE SUBSTITUTE CANCELLOUS GRANULES","N/A","PURGO BIOLOGICS INC.","Approved","2022-11-25","348707","Amendment device licence application"
"SONABLATE SYSTEM","N/A","FOCUS SURGERY INC.","Approved","2022-11-25","348711","Amendment device licence application"
"NEURO - THE COCHLEAR IMPLANT SYSTEM","N/A","NEURELEC","Approved","2022-11-25","350272","Amendment device licence application"
"PROMOGRAN PRISMA WOUND BALANCING MATRIX","N/A","SYSTAGENIX WOUND MANAGEMENT LIMITED","Approved","2022-11-25","352446","Amendment device licence application"
"PROMOGRAN PROTEASE MODULATING MATRIX","N/A","SYSTAGENIX WOUND MANAGEMENT LIMITED","Approved","2022-11-25","352449","Amendment device licence application"
"FIBRACOL PLUS COLLAGEN ALGINATE DRESSING","N/A","SYSTAGENIX WOUND MANAGEMENT LIMITED","Approved","2022-11-25","352451","Amendment device licence application"
"RESTORATION MODULAR HIP SYSTEM","N/A","HOWMEDICA OSTEONICS CORPORATION","Approved","2022-11-25","353198","Amendment device licence application"
"WORKMATE CLARIS SYSTEM","N/A","ST. JUDE MEDICAL","Approved","2022-11-25","345937","Amendment device licence application"
"ANTERALIGN SPINAL SYSTEM WITH TITAN NANOLOCK SURFACE TECHNOLOGY","N/A","MEDTRONIC SOFAMOR DANEK USA, INC.","Approved","2022-11-25","347022","New device licence application"
"THE GRAFT NATURAL BONE SUBSTITUTE CANCELLOUS GRANULES","N/A","PURGO BIOLOGICS INC.","Approved","2022-11-25","348707","Amendment device licence application"
"SONABLATE SYSTEM","N/A","FOCUS SURGERY INC.","Approved","2022-11-25","348711","Amendment device licence application"
"NEURO - THE COCHLEAR IMPLANT SYSTEM","N/A","NEURELEC","Approved","2022-11-25","350272","Amendment device licence application"
"PROMOGRAN PRISMA WOUND BALANCING MATRIX","N/A","SYSTAGENIX WOUND MANAGEMENT LIMITED","Approved","2022-11-25","352446","Amendment device licence application"
"PROMOGRAN PROTEASE MODULATING MATRIX","N/A","SYSTAGENIX WOUND MANAGEMENT LIMITED","Approved","2022-11-25","352449","Amendment device licence application"
"FIBRACOL PLUS COLLAGEN ALGINATE DRESSING","N/A","SYSTAGENIX WOUND MANAGEMENT LIMITED","Approved","2022-11-25","352451","Amendment device licence application"
"RESTORATION MODULAR HIP SYSTEM","N/A","HOWMEDICA OSTEONICS CORPORATION","Approved","2022-11-25","353198","Amendment device licence application"
"RAVICTI","Glycerol phenylbutyrate","Horizon Therapeutics Ireland DAC","Authorized","2022-11-24","259175","Supplement to a New Drug Submission"
"MOUNJARO","Tirzepatide","Eli Lilly Canada Inc","Authorized","2022-11-24","259103","New Drug Submission (New Active Substance)"
"MACUMIRA SYSTEM I","N/A","MACUMIRA MEDICAL DEVICES INC","Approved","2022-11-22","334680","New device licence application"
"TIGEN/ZRGEN ABUTMENT SYSTEM","N/A","MEGAGEN IMPLANT CO., LTD.","Approved","2022-11-22","349692","Amendment device licence application"
"INMODE SYSTEM","N/A","INMODE LTD.","Approved","2022-11-22","349968","Amendment device licence application"
"PRESTIGE CERVICAL DISC SYSTEM","N/A","MEDTRONIC SOFAMOR DANEK USA, INC.","Approved","2022-11-22","350317","Amendment device licence application"
"REUNION TSA SHOULDER SYSTEM","N/A","STRYKER GMBH","Approved","2022-11-22","352308","Amendment device licence application"
"REUNION RSA SHOULDER SYSTEM","N/A","STRYKER GMBH","Approved","2022-11-22","352309","Amendment device licence application"
"TIGEN/ZRGEN ABUTMENT SYSTEM","N/A","MEGAGEN IMPLANT CO., LTD.","Approved","2022-11-22","349692","Amendment device licence application"
"INMODE SYSTEM","N/A","INMODE LTD.","Approved","2022-11-22","349968","Amendment device licence application"
"PRESTIGE CERVICAL DISC SYSTEM","N/A","MEDTRONIC SOFAMOR DANEK USA, INC.","Approved","2022-11-22","350317","Amendment device licence application"
"REUNION TSA SHOULDER SYSTEM","N/A","STRYKER GMBH","Approved","2022-11-22","352308","Amendment device licence application"
"REUNION RSA SHOULDER SYSTEM","N/A","STRYKER GMBH","Approved","2022-11-22","352309","Amendment device licence application"
"PRESET THROMBECTOMY DEVICE","N/A","PHENOX LTD","Approved","2022-11-18","334132","New device licence application"
"CLICK'AV LIGATING CLIPS AND CLICK'AV PLUS LIGATING CLIPS","N/A","GRENA LIMITED","Approved","2022-11-18","349537","New device licence application"
"NUVAXOVID","COVID-19 Vaccine (recombinant protein, adjuvanted)","Novavax Inc.","Authorized","2022-11-17","266285","Supplement to a New Drug Submission"
"EVEROLIMUS TEST KIT","N/A","ROCHE DIAGNOSTICS GMBH","Approved","2022-11-17","350949","Amendment device licence application"
"LIFESTREAM BALLOON EXPANDABLE VASCULAR COVERED STENT","N/A","CLEARSTREAM TECHNOLOGIES, LTD.","Approved","2022-11-17","351691","Amendment device licence application"
"SCC","N/A","ROCHE DIAGNOSTICS GMBH","Approved","2022-11-17","351693","Amendment device licence application"
"RINGLOC ACETABULAR LINER COMPONENTS","N/A","BIOMET ORTHOPEDICS","Approved","2022-11-17","353054","Amendment device licence application"
"MAXIM KNEE SYSTEM","N/A","BIOMET ORTHOPEDICS","Approved","2022-11-17","353055","Amendment device licence application"
"MAXROM RING-LOC ACETABULAR LINER","N/A","BIOMET ORTHOPEDICS","Approved","2022-11-17","353062","Amendment device licence application"
"ORTHOPEDIC SALVAGE SYSTEM (OSS)","N/A","BIOMET ORTHOPEDICS","Approved","2022-11-17","353064","Amendment device licence application"
"VANGUARD TOTAL KNEE SYSTEM","N/A","BIOMET ORTHOPEDICS","Approved","2022-11-17","353065","Amendment device licence application"
"E1 RINGLOC ACETABULAR LINERS","N/A","BIOMET ORTHOPEDICS","Approved","2022-11-17","353066","Amendment device licence application"
"VANGUARD E-POLY TIBIAL BEARINGS","N/A","BIOMET ORTHOPEDICS","Approved","2022-11-17","353068","Amendment device licence application"
"ACTIVE ARTICULATION HIP BEARING","N/A","BIOMET ORTHOPEDICS","Approved","2022-11-17","353069","Amendment device licence application"
"G7 ACETABULAR SYSTEM","N/A","BIOMET ORTHOPEDICS","Approved","2022-11-17","353070","Amendment device licence application"
"ADVANTA V12 ILIAC PTFE COVERED STENT","N/A","ATRIUM MEDICAL CORPORATION","Approved","2022-11-16","349690","Amendment device licence application"
"REUNION RSA SHOULDER SYSTEM","N/A","STRYKER GMBH","Approved","2022-11-16","345993","Amendment device licence application"
"WAVEWRITER ALPHA SPINAL CORD STIMULATOR SYSTEM","N/A","BOSTON SCIENTIFIC NEUROMODULATION CORPORATION","Approved","2022-11-16","346891","Amendment device licence application"
"PRECISION MONTAGE SPINAL CORD STIMULATOR SYSTEM","N/A","BOSTON SCIENTIFIC NEUROMODULATION CORPORATION","Approved","2022-11-16","346905","Amendment device licence application"
"PRECISION MONTAGE MRI SPINAL CORD STIMULATOR SYSTEM","N/A","BOSTON SCIENTIFIC NEUROMODULATION CORPORATION","Approved","2022-11-16","346926","Amendment device licence application"
"PRECISION NOVI SPINAL CORD STIMULATOR SYSTEM","N/A","BOSTON SCIENTIFIC NEUROMODULATION CORPORATION","Approved","2022-11-16","346927","Amendment device licence application"
"PRECISION SPECTRA SYSTEM","N/A","BOSTON SCIENTIFIC NEUROMODULATION CORPORATION","Approved","2022-11-16","346928","Amendment device licence application"
"SPECTRA WAVEWRITER SPINAL CORD STIMULATOR SYSTEM","N/A","BOSTON SCIENTIFIC NEUROMODULATION CORPORATION","Approved","2022-11-16","346929","Amendment device licence application"
"WAVEWRITER ALPHA SPINAL CORD STIMULATOR SYSTEM - ALPHA 16","N/A","BOSTON SCIENTIFIC NEUROMODULATION CORPORATION","Approved","2022-11-16","346930","Amendment device licence application"
"WAVEWRITER ALPHA SPINAL CORD STIMULATOR SYSTEM - ALPHA PRIME","N/A","BOSTON SCIENTIFIC NEUROMODULATION CORPORATION","Approved","2022-11-16","346931","Amendment device licence application"
"WAVEWRITER ALPHA SPINAL CORD STIMULATOR SYSTEM - ALPHA PRIME 16","N/A","BOSTON SCIENTIFIC NEUROMODULATION CORPORATION","Approved","2022-11-16","346932","Amendment device licence application"
"XIENCE SKYPOINT EVEROLIMUS ELUTING CORONARY STENT SYSTEM","N/A","ABBOTT MEDICAL","Approved","2022-11-16","350459","New device licence application"
"CUSTOM-PAK OPHTHALMIC SURGERY PROCEDURE PACK","N/A","ALCON LABORATORIES INC.","Approved","2022-11-16","350837","Amendment device licence application"
"POLIVY","Polatuzumab vedotin","Hoffmann-La Roche Limited","Approved","2022-11-14","259726","Supplement to a New Drug Submission"
"POWERED CIRCULAR STAPLER","N/A","LOK QUALIT INC.","Approved","2022-11-10","342551","New device licence application"
"EMSCULPT NEO","N/A","BTL INDUSTRIES LIMITED","Approved","2022-11-10","351943","Amendment device licence application"
"CURVED CUTTER STAPLER RELOADS","N/A","ETHICON ENDO-SURGERY, LLC","Approved","2022-11-10","341145","Amendment device licence application"
"CURVED CUTTER STAPLER WITH PRELOADED STAPLES","N/A","ETHICON ENDO-SURGERY, LLC","Approved","2022-11-10","341146","Amendment device licence application"
"HAWKONE DIRECTIONAL ATHERECTOMY SYSTEM","N/A","MEDTRONIC INC.","Approved","2022-11-10","347870","New device licence application"
"ADIN BALL ATTACHMENT SYSTEM","N/A","ADIN DENTAL IMPLANT SYSTEMS LTD.","Approved","2022-11-10","348056","New device licence application"
"REVOGENE","N/A","MERIDIAN BIOSCIENCE, INC.","Approved","2022-11-10","351494","Amendment device licence application"
"GEISTLICH BIO-OSS BONE GRAFTING MATERIAL","N/A","GEISTLICH PHARMA AG","Approved","2022-11-10","352352","Amendment device licence application"
"GEISTLICH BIO-OSS COLLAGEN BONE GRAFTING MATERIAL","N/A","GEISTLICH PHARMA AG","Approved","2022-11-10","352353","Amendment device licence application"
"GEISTLICH COMBI-CONVENIENCE KITS","N/A","GEISTLICH PHARMA AG","Approved","2022-11-10","352354","Amendment device licence application"
"ERVEBO","Ebola Zaire Vaccine (rVSV [Delta]G-ZEBOV-GP, live)","Merck Canada Inc.","Authorized","2022-11-09","256568","New Drug Submission (New Active Substance)"
"SOFIA RSV FIA","N/A","QUIDEL CORPORATION","Approved","2022-11-09","338445","New device licence application"
"KOSMOS","N/A","ECHONOUS, INC","Approved","2022-11-09","338242","Amendment device licence application"
"HOME MONITORING SERVICE CENTER","N/A","BIOTRONIK SE & CO. KG","Approved","2022-11-09","347737","Amendment device licence application"
"SYNTHETIC MINERAL COLLAGEN COMPOSITE DENTAL BONE GRAFT MATRIX","N/A","COLLAGEN MATRIX, INC.","Approved","2022-11-09","347820","Amendment device licence application"
"HBSAG II QUANT (HEPATITIS B SURFACE ANTIGEN QUANTITATIVE DETERMINATION)","N/A","ROCHE DIAGNOSTICS GMBH","Approved","2022-11-09","348820","Amendment device licence application"
"PD-L1 IHC 22C3 PHARMDX","N/A","AGILENT TECHNOLOGIES, INC.","Approved","2022-11-09","351440","Amendment device licence application"
"CONTOUR NEXT GEN BLOOD GLUCOSE MONITORING SYSTEM","N/A","ASCENSIA DIABETES CARE HOLDINGS AG","Approved","2022-11-09","351471","Amendment device licence application"
"NEODENT IMPLANT SYSTEM - GM ZYGOMATIC SYSTEM","N/A","JJGC INDUSTRIA E COMERCIO DE MATERIAIS DENTARIOS S.A.","Approved","2022-11-09","351700","Amendment device licence application"
"GROOVY TIUNITE IMPLANTS - TITANIUM","N/A","NOBEL BIOCARE AB","Approved","2022-11-09","352692","Amendment device licence application"
"RADICAVA","Edaravone","Mitsubishi Tanabe Pharma Corporation","Authorized","2022-11-08","261904","Supplement to a New Drug Submission - Priority Review"
"CAMZYOS","Mavacamten","Bristol-Myers Squibb Canada","Authorized","2022-11-08","258772","New Drug Submission (New Active Substance)"
"FILMARRAY COMMERCIAL LAPTOP","N/A","BIOFIRE DEFENSE LLC","Approved","2022-11-08","346797","New device licence application"
"CUSA CLARITY ULTRASONIC SURGICAL ASPIRATOR SYSTEM","N/A","INTEGRA LIFESCIENCES (IRELAND) LIMITED","Approved","2022-11-08","350823","Amendment device licence application"
"OPTUNE","N/A","NOVOCURE GMBH","Approved","2022-11-08","351618","New device licence application"
"CASCADION SM SYSTEM","N/A","THERMO FISHER SCIENTIFIC OY","Approved","2022-11-04","339860","New device licence application"
"ARTHREX SUTURE ANCHORS","N/A","ARTHREX INC","Approved","2022-11-04","350836","Amendment device licence application"
"SPIKEVAX BIVALENT (ORIGINAL/OMICRON BA.4/5)","elasomeran / davesomeran","ModernaTX, Inc.","Authorized","2022-11-03","267589","New Drug Submission with flexibilities for COVID-19 Drug products (NDS-CV)"
"QUIDEL TRIAGETRUE HIGH SENSITIVITY TROPONIN I TEST","N/A","QUIDEL CARDIOVASCULAR INC.","Approved","2022-11-03","338490","New device licence application"
"MINIMED 770G","N/A","MEDTRONIC MINIMED","Approved","2022-11-03","347550","Amendment device licence application"
"MINIMED 630G","N/A","MEDTRONIC MINIMED","Approved","2022-11-03","347681","Amendment device licence application"
"MINIMED 670G","N/A","MEDTRONIC MINIMED","Approved","2022-11-03","347685","Amendment device licence application"
"INTELIQ IMMUNOASSAY PLUS CONTROL","N/A","BIO-RAD LABORATORIES","Approved","2022-11-03","349118","New device licence application"
"INVOS PM7100 PATIENT MONITORING SYSTEM","N/A","COVIDIEN LLC","Approved","2022-11-03","349825","Amendment device licence application"
"MRIDIAN A3I LINAC SYSTEM","N/A","VIEWRAY INCORPORATED","Approved","2022-11-03","349931","Amendment device licence application"
"SUTURE ANCHORS","N/A","CONMED CORPORATION","Approved","2022-11-03","352454","Amendment device licence application"
"SUNLENCA","Lenacapavir sodium","Gilead Sciences Canada, Inc.","Authorized","2022-11-02","262999","New Drug Submission"
"SIGNAFUSE BIOACTIVE BONE GRAFT","N/A","BIOVENTUS LLC","Approved","2022-11-02","347335","New device licence application"
"BC-BL/BLT DENTAL IMPLANT SYSTEM","N/A","BIO CONCEPT CO., LTD.","Approved","2022-11-02","351936","New device licence application"
"COBAS 6800/8800 HIV-1","N/A","ROCHE MOLECULAR SYSTEMS, INC","Approved","2022-11-01","345742","Amendment device licence application"
"HBSAG TEST KIT","N/A","ROCHE DIAGNOSTICS GMBH","Approved","2022-11-01","345813","Amendment device licence application"
"SIROLIMUS","N/A","ROCHE DIAGNOSTICS GMBH","Approved","2022-11-01","348017","Amendment device licence application"
"OXFORD PARTIAL KNEE","N/A","BIOMET UK LIMITED","Approved","2022-11-01","349013","Amendment device licence application"
"NEXTSEQ 550DX","N/A","ILLUMINA, INC.","Approved","2022-11-01","350811","Amendment device licence application"
"CD HORIZON SPINAL SYSTEM","N/A","MEDTRONIC SOFAMOR DANEK USA, INC.","Approved","2022-10-31","349939","Amendment device licence application"
"BC-TL DENTAL IMPLANT SYSTEM","N/A","BIO CONCEPT CO., LTD.","Approved","2022-10-31","350018","New device licence application"
"CEMENTED ROUND PATELLA W/ JRNY PEGS","N/A","SMITH & NEPHEW, INC.","Approved","2022-10-31","351595","New device licence application"
"TANGO AUTOMATED BLOOD BANK ANALYZER SYSTEM","N/A","BIO-RAD MEDICAL DIAGNOSTICS GMBH","Approved","2022-10-28","348390","Amendment device licence application"
"LIFESPARC SYSTEM","N/A","CARDIACASSIST, INC.","Approved","2022-10-28","341165","New device licence application"
"INTERCEPT BLOOD SYSTEM FOR PLASMA","N/A","CERUS CORPORATION","Approved","2022-10-28","345764","Amendment device licence application"
"COBAS MPX (DONOR SCREENING AND CADAVERIC TESTING)","N/A","ROCHE MOLECULAR SYSTEMS, INC","Approved","2022-10-28","349717","New device licence application"
"DA VINCI XI SURGICAL SYSTEM","N/A","INTUITIVE SURGICAL INC.","Approved","2022-10-28","349748","Amendment device licence application"
"PROCLEIX XPRESS SYSTEM","N/A","GRIFOLS DIAGNOSTIC SOLUTIONS INC.","Approved","2022-10-28","350437","Amendment device licence application"
"LIFESPARC SYSTEM","N/A","CARDIACASSIST, INC.","Approved","2022-10-28","341165","New device licence application"
"INTERCEPT BLOOD SYSTEM FOR PLASMA","N/A","CERUS CORPORATION","Approved","2022-10-28","345764","Amendment device licence application"
"TANGO AUTOMATED BLOOD BANK ANALYZER SYSTEM","N/A","BIO-RAD MEDICAL DIAGNOSTICS GMBH","Approved","2022-10-28","348390","Amendment device licence application"
"COBAS MPX (DONOR SCREENING AND CADAVERIC TESTING)","N/A","ROCHE MOLECULAR SYSTEMS, INC","Approved","2022-10-28","349717","New device licence application"
"DA VINCI XI SURGICAL SYSTEM","N/A","INTUITIVE SURGICAL INC.","Approved","2022-10-28","349748","Amendment device licence application"
"PROCLEIX XPRESS SYSTEM","N/A","GRIFOLS DIAGNOSTIC SOLUTIONS INC.","Approved","2022-10-28","350437","Amendment device licence application"
"COBAS 6800/8800 ASAP SOFTWARE","N/A","ROCHE MOLECULAR SYSTEMS, INC","Approved","2022-10-27","332032","Amendment device licence application"
"MINIMED 780G SYSTEM","N/A","MEDTRONIC MINIMED","Approved","2022-10-27","332778","New device licence application"
"FLOWTRIEVER RETRIEVAL/ASPIRATION SYSTEM","N/A","INARI MEDICAL, INC.","Approved","2022-10-27","342109","New device licence application"
"AVALUS BIOPROSTHESIS","N/A","MEDTRONIC INC.","Approved","2022-10-27","351571","Amendment device licence application"
"ACUMED ANKLE SYNDESMOSIS REPAIR SYSTEM","N/A","ACUMED, LLC","Approved","2022-10-27","352090","New device licence application"
"THE ZENITH DISSECTION ENDOVASCULAR SYSTEM","N/A","WILLIAM COOK EUROPE APS","Approved","2022-10-27","352496","Amendment device licence application"
"COBAS 6800/8800 ASAP SOFTWARE","N/A","ROCHE MOLECULAR SYSTEMS, INC","Approved","2022-10-27","332032","Amendment device licence application"
"MINIMED 780G SYSTEM","N/A","MEDTRONIC MINIMED","Approved","2022-10-27","332778","New device licence application"
"FLOWTRIEVER RETRIEVAL/ASPIRATION SYSTEM","N/A","INARI MEDICAL, INC.","Approved","2022-10-27","342109","New device licence application"
"AVALUS BIOPROSTHESIS","N/A","MEDTRONIC INC.","Approved","2022-10-27","351571","Amendment device licence application"
"ACUMED ANKLE SYNDESMOSIS REPAIR SYSTEM","N/A","ACUMED, LLC","Approved","2022-10-27","352090","New device licence application"
"THE ZENITH DISSECTION ENDOVASCULAR SYSTEM","N/A","WILLIAM COOK EUROPE APS","Approved","2022-10-27","352496","Amendment device licence application"
"ELONOX / ELONOX HP","Enoxaparin Sodium","Fresenius Kabi Canada Ltd.","Authorized","2022-10-26","243026","New Drug Submission"
"PREXION3D EXPLORER EX","N/A","PREXION CORPORATION","Approved","2022-10-26","341687","New device licence application"
"TITANIUM LIGATING CLIPS","N/A","TELEFLEX MEDICAL","Approved","2022-10-26","349443","Amendment device licence application"
"HEM-O-LOK NON-ABSORBABLE POLYMER LIGATING CLIPS","N/A","TELEFLEX MEDICAL","Approved","2022-10-26","349444","Amendment device licence application"
"TE AIR DIAGNOSTIC ULTRASOUND SYSTEM","N/A","SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS CO., LTD.","Approved","2022-10-26","349971","New device licence application"
"PREXION3D EXPLORER EX","N/A","PREXION CORPORATION","Approved","2022-10-26","341687","New device licence application"
"TE AIR DIAGNOSTIC ULTRASOUND SYSTEM","N/A","SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS CO., LTD.","Approved","2022-10-26","349971","New device licence application"
"TITANIUM LIGATING CLIPS","N/A","TELEFLEX MEDICAL","Approved","2022-10-26","349443","Amendment device licence application"
"HEM-O-LOK NON-ABSORBABLE POLYMER LIGATING CLIPS","N/A","TELEFLEX MEDICAL","Approved","2022-10-26","349444","Amendment device licence application"
"COBAS BKV","N/A","ROCHE MOLECULAR SYSTEMS, INC","Approved","2022-10-25","330107","New device licence application"
