Drug Name,Brand Name,Generic Name,PDF Links,Therapeutic Area,Recommendation,Status,Submission Date,Recommendation Date,Project Number
Elosulfase alfaOpens in new tab,Vimizim,Elosulfase alfa,"['/sites/default/files/cdr/tracking/SR0456%20Vimizim%20Resubmission.pdf', '/sites/default/files/cdr/complete/SR0456_complete_Vimizim_May-26_16.pdf', '/sites/default/files/cdr/clinical/SR0456_Vimizim_Resubmission_CL_Report.pdf', '/sites/default/files/cdr/pharmacoeconomic/SR0456_Vimizim_Resubmission_PE_Report.pdf', '/sites/default/files/cdr/relatedinfo/SR0456_Vimizim_Resubmission_PI_Submissions_Consolidated_validated.pdf']",Mucopolysaccharidosis IVA (Morquio A syndrome),Reimburse with clinical criteria and/or conditions,Complete,10-Nov-15,20-May-16,SR0456-000
Elbasvir/grazoprevirOpens in new tab,Zepatier,Elbasvir/grazoprevir,"['/sites/default/files/cdr/tracking/cdr_SR0454_grazoprevir_elbasvir.pdf', '/sites/default/files/cdr/complete/SR0454_complete_Zepatier_May_25-16.pdf', '/sites/default/files/cdr/clinical/SR0454_Zepatier_CL_Report.pdf', '/sites/default/files/cdr/pharmacoeconomic/SR0454_Zepatier_PE_Report.pdf', '/sites/default/files/cdr/relatedinfo/SR0454_grazoprevir%2Belbasvir_PI_Submissions_Consolidated_validated.pdf']","Hepatitis C, chronic",Reimburse with clinical criteria and/or conditions,Complete,27-Oct-15,19-May-16,SR0454-000
ombitasvir/paritaprevir/ritona...Opens in new tab,Holkira Pak,ombitasvir/paritaprevir/ritonavir and dasabuvir,"['/sites/default/files/cdr/tracking/cdr_SF0466_Holkira_Pak.pdf', '/sites/default/files/cdr/complete/SF0466_complete_Holkira_Pak_May-25-16.pdf', '/sites/default/files/cdr/advice/SF0466_HolkiraPak_RfA_Review_Report.pdf', '/sites/default/files/cdr/relatedinfo/SF0466_HolkiraPak_RfA_PI_Submissions.pdf']","Hepatitis C, chronic",Reimburse with clinical criteria and/or conditions,Complete,06-Jan-16,19-May-16,SF0466-000
daclatasvirOpens in new tab,Daklinza,daclatasvir,"['/sites/default/files/cdr/tracking/cdr_SF0467_Daklinza.pdf', '/sites/default/files/cdr/complete/SF0467_complete_Daklinza_May_25-16.pdf', '/sites/default/files/cdr/advice/SF0467_Daklinza_RfA_Review_Report.pdf', '/sites/default/files/cdr/relatedinfo/SF0467_Daklinza_RfA_PI_Submissions.pdf']","Hepatitis C, Chronic",Reimburse with clinical criteria and/or conditions,Complete,06-Jan-16,19-May-16,SF0467-000
AdalimumabOpens in new tab,Humira,Adalimumab,"['/sites/default/files/cdr/tracking/SR0455%20Humira%20HS.pdf', '/sites/default/files/cdr/complete/SR0455_complete_Humira-HS_May-24-16_e.pdf', '/sites/default/files/cdr/clinical/SR0455_HumiraHS_CL_Report.pdf', '/sites/default/files/cdr/pharmacoeconomic/SR0455_HumiraHS_PE_Report.pdf', '/sites/default/files/cdr/relatedinfo/SR0455%20Humira%20HS%20-%20_PI_Submissions_Consolidated_validated.pdf']",Hidradenitis suppurativa,Reimburse with clinical criteria and/or conditions,Complete,03-Nov-15,19-May-16,SR0455-000
PerampanelOpens in new tab,Fycompa,Perampanel,"['/sites/default/files/cdr/tracking/SR0458%20Fycompa%20PGTCS%20.pdf', '/sites/default/files/cdr/complete/SR0458_complete_Fycompa_May-20-16_e.pdf', '/sites/default/files/cdr/clinical/SR0458_Fycompa_PGTCS_CL_Report.pdf', '/sites/default/files/cdr/pharmacoeconomic/SR0458_Fycompa_PE.pdf', '/sites/default/files/cdr/relatedinfo/SR0458_Fycompa_PI_Submissions_Consolidated_validated.pdf']","Epilepsy, primary generalized tonic-clonic seizures",Reimburse with clinical criteria and/or conditions,Complete,24-Nov-15,18-May-16,SR0458-000
"ledipasvir, sofosbuvirOpens in new tab",Harvoni,"ledipasvir, sofosbuvir","['/sites/default/files/cdr/relatedinfo/SF0465%20Harvoni.pdf', '/sites/default/files/cdr/complete/SF0465_complete_Harvoni%20RFA_May_19-16.pdf', '/sites/default/files/cdr/relatedinfo/SF0465_Harvoni_Hep_C_RfA_PI_Submissions.pdf', '/sites/default/files/cdr/relatedinfo/SF0465_Harvoni_RfA_Review_Report.pdf']","Hepatitis C, chronic",Reimburse with clinical criteria and/or conditions,Complete,06-Jan-16,18-May-16,SF0465-000
sofosbuvirOpens in new tab,Sovaldi,sofosbuvir,"['/sites/default/files/cdr/tracking/cdr_SF0464_Sovaldi.pdf', '/sites/default/files/cdr/complete/SF0464_complete_Sovaldi-May_19_16.pdf', '/sites/default/files/cdr/advice/SF0464_Sovaldi_RfA_Review_Report.pdf', '/sites/default/files/cdr/relatedinfo/SF0464_Sovaldi_RFA_PI_Submissions.pdf']","Hepatitis C, chronic",Reimburse with clinical criteria and/or conditions,Complete,06-Jan-16,18-May-16,SF0464-000
Omalizumab (Drug Plan Submissi...Opens in new tab,Xolair,Omalizumab (Drug Plan Submission),"['/sites/default/files/cdr/tracking/cdr_SR0457_Xolair_Resub.pdf', '/sites/default/files/cdr/complete/SR0457_complete_Xolair_Resub-May_19_16.pdf', '/sites/default/files/cdr/relatedinfo/SR0457_Xolair_Resub_PI_Submissions.pdf', '/sites/default/files/cdr/clinical/SR0457_Xolair_Resubmission_CL_Report_e.pdf', '/sites/default/files/cdr/pharmacoeconomic/SR0457_Xolair_Resubmission_PE_Report_e.pdf']","Asthma, severe persistent",Reimburse with clinical criteria and/or conditions,Complete,18-Nov-15,18-May-16,SR0457-000
Avastin for Platinum-Resistant...Opens in new tab,Avastin,Bevacizumab,"['/sites/default/files/pcodr/pcodr-provfund_bevacizumab_avastin_proc.pdf', '/sites/default/files/pcodr/pcodr_bevacizumab_avastin_proc_fn_rec.pdf', '/sites/default/files/pcodr/pcodr_bevacizumab_avastin_proc_fn_egr.pdf', '/sites/default/files/pcodr/pcodr_bevacizumab_avastin_proc_fn_cgr.pdf', '/sites/default/files/pcodr/pcodr_bevacizumab_avastin_proc-in_rec.pdf', '/sites/default/files/pcodr/pcodr_bevacizumab_avastin_proc_pagfdk.pdf', '/sites/default/files/pcodr/pcodr_bevacizumab_avastin_proc_fdk_roche.pdf', '/sites/default/files/pcodr/pcodr_bevacizumab_avastin_proc_ptfdk_occ.pdf', '/sites/default/files/pcodr/pcodr_bevacizumab_avastin_proc_coi_occ.pdf']",Platinum Resistant Ovarian Cancer,Reimburse with clinical criteria and/or conditions,Complete,29-Oct-15,05-May-16,PC0066-000
DapagliflozinOpens in new tab,Forxiga,Dapagliflozin,"['/sites/default/files/cdr/tracking/cdr_SR0445_Forxiga.pdf', '/sites/default/files/cdr/complete/SR0445_complete_Forxiga-May_2_16-e.pdf', '/sites/default/files/cdr/clinical/SR0445_Forxiga_CL_Report.pdf', '/sites/default/files/cdr/pharmacoeconomic/SR0445_Forxiga_PE_Report.pdf']","Diabetes mellitus, type 2",Do not list,Complete,04-Sep-15,27-Apr-16,SR0445-000
AdalimumabOpens in new tab,Humira,Adalimumab,"['/sites/default/files/cdr/tracking/cdr_SR0450_Humira.pdf', '/sites/default/files/cdr/complete/SR0450_complete_Humira-Apr-19-16_e.pdf', '/sites/default/files/cdr/clinical/SR0450_Humira_UC_CL_Report.pdf', '/sites/default/files/cdr/pharmacoeconomic/SR0450_Humira_UC_PE_Report.pdf', '/sites/default/files/cdr/relatedinfo/SR0450_Humira_UC_PI_Submissions.pdf']",Ulcerative colitis,Do not list at the submitted price,Complete,25-Sep-15,15-Apr-16,SR0450-000
Sodium phenylbutyrateOpens in new tab,Pheburane,Sodium phenylbutyrate,"['/sites/default/files/cdr/tracking/SR0452%20Pheburane.pdf', '/sites/default/files/cdr/complete/SR0452_complete_Pheburane-Apr-25_16-e.pdf', '/sites/default/files/cdr/clinical/SR0452_Pheburane_CL_Report.pdf', '/sites/default/files/cdr/pharmacoeconomic/SR0452_Pheburane_PE_Report.pdf']",Urea cycle disorders,List,Complete,20-Oct-15,15-Apr-16,SR0452-000
Insulin glargineOpens in new tab,Basaglar,Insulin glargine,"['/sites/default/files/cdr/tracking/cdr_SE0451_Basaglar.pdf', '/sites/default/files/cdr/complete/SE0451_complete_Basaglar-Apr_19-16-e.pdf', '/sites/default/files/cdr/relatedinfo/SE0451_Basaglar_PI_Submissions.pdf', '/sites/default/files/cdr/seb/SE0451_Basaglar_SEB_Report.pdf']","Diabetes mellitus, type 1; diabetes mellitus, type 2",List with clinical criteria and/or conditions,Complete,05-Oct-15,14-Apr-16,SE0451-000
Blinatumomab (Blincyto) for Ph...Opens in new tab,Blincyto,Blinatumomab,"['/sites/default/files/pcodr/pcodr_profund_blinatumomab_blincyto_all.pdf', '/sites/default/files/pcodr/blinatumomab_blincyto_all_fn_rec.pdf', '/sites/default/files/pcodr/blinatumomab_blincyto_all_fn_cgr.pdf', '/sites/default/files/pcodr/blinatumomab_blincyto_all_fn_egr.pdf', '/sites/default/files/pcodr/pcodr_blinatumomab_blincyto_all_in_rec.pdf', '/sites/default/files/pcodr/blinatumomab_blincyto_all_pagfdk.pdf', '/sites/default/files/pcodr/blinatumomab_blincyto_all_fdk_amgen.pdf', '/sites/default/files/pcodr/blinatumomab_blincyto_all_ptfdk_ccsn.pdf', '/sites/default/files/pcodr/blinatumomab_blincyto_all_coi_ccsn.pdf']",Acute Lymphoblastic Leukemia,Reimburse with clinical criteria and/or conditions,Complete,24-Aug-15,01-Apr-16,PC0064-000
Opdivo for Metastatic Melanoma...Opens in new tab,Opdivo,Nivolumab,"['/sites/default/files/pcodr/pcodr_provfund_nivolumab_opdivo_metmela.pdf', '/sites/default/files/pcodr/nivolumab_opdivo_mm_fn_rec.pdf', '/sites/default/files/pcodr/nivolumab_opdivo_mm_fn_cgr.pdf', '/sites/default/files/pcodr/nivolumab_opdivo_mm_fn_egr.pdf', '/sites/default/files/pcodr/pcodr_nivolumab_opdivo_metmela_in_rec.pdf', '/sites/default/files/pcodr/nivolumab_opdivo_mm_pagfdk.pdf', '/sites/default/files/pcodr/nivolumab_opdivo_mm_fdk_bms.pdf', '/sites/default/files/pcodr/nivolumab_opdivo_mm_ptfdk_mnc.pdf', '/sites/default/files/pcodr/nivolumab_opdivo_mm_coi_mnc.pdf']",Metastatic Melanoma,Reimburse with clinical criteria and/or conditions,Complete,13-Aug-15,01-Apr-16,PC0063-000
Denosumab (Drug Plan Submissio...Opens in new tab,Xgeva,Denosumab (Drug Plan Submission),"['/sites/default/files/cdr/tracking/cdr_SR0433-001_Xgeva.pdf', '/sites/default/files/cdr/complete/SR0433-001_complete_Xgeva_OST-Mar-28_16-e.pdf', '/sites/default/files/cdr/pharmacoeconomic/SR0433-001%20Xgeva_FWG_OST_PE_Report.pdf', '/sites/default/files/cdr/clinical/SR0433-001%20Xgeva_FWG_OST_CL_Report.pdf', '/sites/default/files/cdr/relatedinfo/SR0433-001_Xgeva_PI_Submissions.pdf']","Prevention of skeletal-related events due to bone metastases from other solid tumors (excluding breast and prostate cancer), including non-small cell lung cancer",List with clinical criteria and/or conditions,Complete,31-Jul-15,23-Mar-16,SR0433-001
Asfotase alfaOpens in new tab,Strensiq,Asfotase alfa,"['/sites/default/files/cdr/tracking/cdr_SR0443_Strensiq.pdf', '/sites/default/files/cdr/complete/SR0443_complete_Strensiq-Apr-4-16_e.pdf', '/sites/default/files/cdr/relatedinfo/SR0443%20Strensiq%20_PI_Submissions.pdf', '/sites/default/files/cdr/clinical/SR0443_Strensiq_CL_Report.pdf', '/sites/default/files/cdr/pharmacoeconomic/SR0443_Strensiq_PE_Report.pdf']","Hypophosphatasia, pediatric-onset",List with criteria/condition,Complete,21-Aug-15,23-Mar-16,SR0443-000
FilgrastimOpens in new tab,Grastofil,Filgrastim,"['/sites/default/files/cdr/tracking/cdr_SE0446_Grastofil.pdf', '/sites/default/files/cdr/complete/SE0446_cdr_complete_Grastofil_March-22-16_e.pdf', '/sites/default/files/cdr/seb/SE0446_Grastofil_SEB_Report.pdf', '/sites/default/files/cdr/relatedinfo/SE0446_Grastofil_PI_Submissions.pdf']",Neutropenia,List with clinical criteria and/or conditions,Complete,11-Sep-15,18-Mar-16,SE0446-000
DeferiproneOpens in new tab,Ferriprox,Deferiprone,"['/sites/default/files/cdr/tracking/cdr_SR0448_Ferriprox.pdf', '/sites/default/files/cdr/complete/SR0448_cdr_complete_Ferriprox_March-23-16_e.pdf', '/sites/default/files/cdr/clinical/SR0448_Ferriprox_CL_Report.pdf', '/sites/default/files/cdr/pharmacoeconomic/SR0448_Ferriprox_PE_Report.pdf', '/sites/default/files/cdr/relatedinfo/SR0448_Ferriprox_PI_Submissions.pdf']",Transfusional iron overload,List with clinical criteria and/or conditions,Complete,24-Sep-15,18-Mar-16,SR0448-000
Elvitegravir/cobicistat/emtric...Opens in new tab,Genvoya,Elvitegravir/cobicistat/emtricitabine/tenofovir alafenamide,"['/sites/default/files/cdr/tracking/cdr_SR0449_ECFTAF.pdf', '/sites/default/files/cdr/clinical/SR0449_Genvoya_CL_Report-e.pdf', '/sites/default/files/cdr/pharmacoeconomic/SR0449_Genvoya_PE_Report-e.pdf', '/sites/default/files/cdr/complete/SR0449_complete_Genvoya-March_22-16_e.pdf', '/sites/default/files/cdr/relatedinfo/SR0449%20Genvoya_PI_Submissions.pdf']",HIV infection,List,Complete,24-Sep-15,18-Mar-16,SR0449-000
Sacubitril/valsartanOpens in new tab,Entresto,Sacubitril/valsartan,"['/sites/default/files/cdr/tracking/cdr_SR0447_sacubitril_valsartan.pdf', '/sites/default/files/cdr/complete/SR0447_complete_Entresto-Mar-22_e.pdf', '/sites/default/files/cdr/clinical/SR0447_Entresto_CL_Report.pdf', '/sites/default/files/cdr/pharmacoeconomic/SR0447_Entresto_PE_Report.pdf', '/sites/default/files/cdr/relatedinfo/SR0447%20Entresto%20Template_PI_Submissions_Consolidated_validated.pdf']","Heart failure, NYHA class II or III",List with clinical criteria and/or conditions,Complete,18-Sep-15,18-Mar-16,SR0447-000
Ombitasvir/ paritaprevir/ rito...Opens in new tab,Technivie,Ombitasvir/ paritaprevir/ ritonavir,"['/sites/default/files/cdr/tracking/cdr_SR0444_ombitasvir-paritaprevir-ritonavir.pdf', '/sites/default/files/cdr/complete/SR0444_cdr_complete_Technivie_March-23-16_e.pdf', '/sites/default/files/cdr/clinical/SR0444_Technivie_CL_Report.pdf', '/sites/default/files/cdr/pharmacoeconomic/SR0444_Technivie_PE_Report.pdf', '/sites/default/files/cdr/relatedinfo/SR0444%20Technivie%20-%20PI_Submissions_Consolidated_validated.pdf']","Hepatitis C, chronic",List with clinical criteria and/or conditions,Complete,04-Sep-15,18-Mar-16,SR0444-000
Jakavi for Polycythemia Vera -...Opens in new tab,Jakavi,Ruxolitinib,"['/sites/default/files/pcodr/pcodr_profund_ruxolitinib_jakavi_pv.pdf', '/sites/default/files/pcodr/pcodr_ruxolitinib_jakavi_pv_fn_rec.pdf', '/sites/default/files/pcodr/pcodr_ruxolitinib_jakavi_pv_fn_cgr.pdf', '/sites/default/files/pcodr/pcodr_ruxolitinib_jakavi_pv_fn_egr.pdf', '/sites/default/files/pcodr/pcodr_ruxolitinib_jakavi_pv_in_rec.pdf', '/sites/default/files/pcodr/pcodr_ruxolitinib_jakavi_pv_pagfdk.pdf', '/sites/default/files/pcodr/pcodr_ruxolitinib_jakavi_pv_fdk_novartis.pdf', '/sites/default/files/pcodr/pcodr_ruxolitinib_jakavi_pv_ptfdk_mpn.pdf', '/sites/default/files/pcodr/pcodr_ruxolitinib_jakavi_pv_coi_mpn.pdf']",Polycythemia vera,Reimburse with clinical criteria and/or conditions,Complete,27-Aug-15,03-Mar-16,PC0065-000
Denosumab  (Drug Plan Submissi...Opens in new tab,Xgeva,Denosumab  (Drug Plan Submission),"['/sites/default/files/cdr/tracking/SR0433-000%20Xgeva.pdf', '/sites/default/files/cdr/complete/SR0433-000_complete_Xgeva_BC-Mar_1_16_e.pdf', '/sites/default/files/cdr/clinical/SR0433_000_XgevaBC_CL_Report.pdf', '/sites/default/files/cdr/pharmacoeconomic/SR0433_000_XgevaBC_PE_Report.pdf']",Prevention of skeletal-related events due to bone metastases from breast cancer,List with clinical criteria and/or conditions,Complete,31-Jul-15,25-Feb-16,SR0433-000
TolvaptanOpens in new tab,Jinarc,Tolvaptan,"['/sites/default/files/cdr/tracking/SR0435%20Jinarc.pdf', '/sites/default/files/cdr/complete/SR0435_complete_Jinarc-Feb_26_16_e.pdf', '/sites/default/files/cdr/clinical/SR0435_Jinarc_CL_Report.pdf', '/sites/default/files/cdr/pharmacoeconomic/SR0435_Jinarc_PE_Report.pdf', '/sites/default/files/cdr/relatedinfo/SR0435%20Jinarc%20Template_PI_Submissions.pdf']",Autosomal dominant polycystic kidney disease,Do not list,Complete,29-May-15,24-Feb-16,SR0435-000
Galsulfase (Drug Plan Submissi...Opens in new tab,Naglazyme,Galsulfase (Drug Plan Submission),"['/sites/default/files/cdr/tracking/cdr_SR0434_Naglazyme.pdf', '/sites/default/files/cdr/complete/SR0434_complete_Naglazyme-Feb-23_16_e.pdf', '/sites/default/files/cdr/clinical/SR0434_Naglazyme_CL_Report.pdf', '/sites/default/files/cdr/pharmacoeconomic/SR0434_Naglazyme_PE_Report.pdf', '/sites/default/files/cdr/relatedinfo/SR0434_Naglazyme_PI_Submissions.pdf']",Mucopolysaccharidosis VI (Maroteaux-Lamy syndrome),List with clinical criteria and/or conditions,Complete,20-Aug-15,19-Feb-16,SR0434-000
EvolocumabOpens in new tab,Repatha,Evolocumab,"['/sites/default/files/cdr/tracking/cdr_SR0441_Repatha.pdf', '/sites/default/files/cdr/complete/SR0441_complete_Rapatha-Feb-23_16_e.pdf', '/sites/default/files/cdr/clinical/SR0441_Repatha_CL_Report.pdf', '/sites/default/files/cdr/pharmacoeconomic/SR0441_Repatha_PE_Report.pdf', '/sites/default/files/cdr/relatedinfo/SR0441_Repatha_PI_Submissions.pdf']",Primary hyperlipidemia; mixed dyslipidemia,List with clinical criteria and/or conditions,Complete,30-Jun-15,19-Feb-16,SR0441-000
Fluticasone Furoate and Vilant...Opens in new tab,Breo Ellipta,Fluticasone Furoate and Vilanterol (as trifenatate),"['/sites/default/files/cdr/tracking/cdr_SR0442_Breo-Ellipta.pdf', '/sites/default/files/cdr/complete/SR0442_complete_Breo%20Ellipta-Feb-22-16_e.pdf', '/sites/default/files/cdr/clinical/SR0442_BreoEllipta_CL_Report.pdf', '/sites/default/files/cdr/pharmacoeconomic/SR0442_BreoEllipta_PE_Report.pdf', '/sites/default/files/cdr/relatedinfo/SR0442_BreoEllipta_PI_Submissions.pdf']",Asthma,List with clinical criteria and/or conditions,Complete,10-Aug-15,18-Feb-16,SR0442-000
ApremilastOpens in new tab,Otezla,Apremilast,"['/sites/default/files/cdr/tracking/cdr_SR0437_Otezla_PsA.pdf', '/sites/default/files/cdr/complete/SR0437_complete_Otezla_PsA-Dec-21-15_e.pdf', '/sites/default/files/cdr/clinical/SR0437_OtezlaPsA_CL_Report.pdf', '/sites/default/files/cdr/pharmacoeconomic/SR0437_OtezlaPsA_PE_Report.pdf', '/sites/default/files/cdr/relatedinfo/SR0437_OtezlaPsA_PI_Submissions.pdf']","Arthritis, psoriatic",List with criteria/condition,Complete,08-Jun-15,17-Dec-15,SR0437-000
Fluticasone furoateOpens in new tab,Arnuity Ellipta,Fluticasone furoate,"['/sites/default/files/cdr/tracking/cdr_SR0439_fluticasone_furoate.pdf', '/sites/default/files/cdr/complete/SR0439_complete_Arnuity-Ellipta-Dec-21-15_e.pdf', '/sites/default/files/cdr/clinical/SR0439_Arnuity_Ellipta_CL_Report.pdf', '/sites/default/files/cdr/pharmacoeconomic/SR0439_Arnuity_Ellipta_PE_Report.pdf', '/sites/default/files/cdr/relatedinfo/SR0439_Arnuity_Ellipta_PI_Submissions.pdf']",Asthma,List with criteria/condition,Complete,26-Jun-15,17-Dec-15,SR0439-000
Tiotropium / olodaterolOpens in new tab,Inspiolto Respimat,Tiotropium / olodaterol,"['/sites/default/files/cdr/tracking/cdr_SR0436_Inspiolto_Respimat.pdf', '/sites/default/files/cdr/complete/SR0436_complete_Inspiolto-Respimat-Dec_21-15-e.pdf', '/sites/default/files/cdr/clinical/SR0436_Inspiolto_Respimat_CL_Report.pdf', '/sites/default/files/cdr/pharmacoeconomic/SR0436_Inspiolto_Respimat_PE_Report.pdf', '/sites/default/files/cdr/relatedinfo/SR0436_Inspiolto_Respimat_PI_Submissions.pdf']",Chronic obstructive pulmonary disease,List with criteria/condition,Complete,04-Jun-15,17-Dec-15,SR0436-000
RiociguatOpens in new tab,Adempas,Riociguat,"['/sites/default/files/cdr/tracking/cdr_SR0438_Adempas-PAH.pdf', '/sites/default/files/cdr/complete/SR0438_complete_Adempas-Dec-21-15_e.pdf', '/sites/default/files/cdr/clinical/SR0438_Adempas_CL_Report.pdf', '/sites/default/files/cdr/pharmacoeconomic/SR0438_Adempas_PE_Report.pdf', '/sites/default/files/cdr/relatedinfo/SR0438_Adempas_PI_Submissions.pdf']",Pulmonary arterial hypertension (WHO group 1),List with clinical criteria and/or conditions,Complete,25-Jun-15,17-Dec-15,SR0438-000
Peginterferon beta-1aOpens in new tab,Plegridy,Peginterferon beta-1a,"['/sites/default/files/cdr/tracking/SR0440%20Plegridy.pdf', '/sites/default/files/cdr/complete/SR0440_complete_Plegridy-Dec-21-15_e.pdf', '/sites/default/files/cdr/clinical/SR0440_Plegridy_CL_Report.pdf', '/sites/default/files/cdr/pharmacoeconomic/SR0440_Plegridy_PE_Report.pdf', '/sites/default/files/cdr/relatedinfo/SR0440_Plegridy%20Patient%20Input%20Submission.pdf']","Multiple sclerosis, relapsing-remitting",List with criteria/condition,Complete,26-Jun-15,17-Dec-15,SR0440-000
Vectibix for mCRC – DetailsOpens in new tab,Vectibix,Panitumumab,"['/sites/default/files/pcodr/pcodr_provfund_panitumumab_vectibix_mcrc.pdf', '/sites/default/files/pcodr/pcodr_panitumumab_vectibix_mcrc_fn_rec.pdf', '/sites/default/files/pcodr/pcodr_panitumumab_vectibix_mcrc_fn_cgr.pdf', '/sites/default/files/pcodr/pcodr_panitumumab_vectibix_mcrc_fn_egr.pdf', '/sites/default/files/pcodr/pcodr_panitumumab_vectibix_mcrc_in_rec.pdf', '/sites/default/files/pcodr/pcodr_panitumumab_vectibix_mcrc_pagfdk.pdf', '/sites/default/files/pcodr/pcodr_panitumumab_vectibix_mcrc_fdk_amgen.pdf', '/sites/default/files/pcodr/pcodr_panitumumab_vectibix_mcrc_coi_ccac.pdf']",Metastatic Colorectal Cancer,Reimburse with clinical criteria and/or conditions,Complete,15-Apr-15,03-Dec-15,PC0060-000
Revlimid for Newly Diagnosed M...Opens in new tab,Revlimid,Lenalidomide,"['/sites/default/files/pcodr/pcodr_provfund_lenalidomide_revlimid_nd-mm.pdf', '/sites/default/files/pcodr/pcodr_lenalidomide_revlimid_nd-mm_fn_rec.pdf', '/sites/default/files/pcodr/pcodr_lenalidomide_revlimid_nd-mm_fn_cgr.pdf', '/sites/default/files/pcodr/pcodr_lenalidomide_revlimid_nd-mm_fn_egr.pdf', '/sites/default/files/pcodr/pcodr_lenalidomide_revlimid_mm_in_rec.pdf', '/sites/default/files/pcodr/pcodr_lenalidomide_revlimid_nd-mm_pagfdk.pdf', '/sites/default/files/pcodr/pcodr_lenalidomide_revlimid_nd-mm_fdk_celgene.pdf', '/sites/default/files/pcodr/pcodr_lenalidomide_revlimid_nd-mm_coi_mc.pdf']","Multiple Myeloma, newly diagnosed",Reimburse with clinical criteria and/or conditions,Complete,04-May-15,03-Dec-15,PC0061-000
Zykadia for Metastatic Non-Sma...Opens in new tab,Zykadia,Ceritinib,"['/sites/default/files/pcodr/pcodr_provfund_ceritinib_zykadia_nsclc.pdf', '/sites/default/files/pcodr/pcodr_ceritinib_zykadia_nsclc_fn_rec.pdf', '/sites/default/files/pcodr/pcodr_ceritinib_zykadia_nsclc_fn_cgr.pdf', '/sites/default/files/pcodr/pcodr_ceritinib_zykadia_nsclc_fn_egr.pdf', '/sites/default/files/pcodr/pcodr_ceritinib_zykadia_nsclc_in_rec.pdf', '/sites/default/files/pcodr/pcodr_ceritinib_zykadia_nsclc_pagfdk.pdf', '/sites/default/files/pcodr/pcodr_ceritinib_zykadia_nsclc_fdk_novartis.pdf', '/sites/default/files/pcodr/pcodr_ceritinib_zykadia_nsclc_ptfdk_lcc.pdf', '/sites/default/files/pcodr/pcodr_ceritinib_zykadia_nsclc_coi_lcc.pdf']",Metastatic Non-Small Cell Lung Cancer,Do not reimburse,Complete,05-Jun-15,03-Dec-15,PC0062-000
DapagliflozinOpens in new tab,Forxiga,Dapagliflozin,"['https://www.cadth.ca/sites/default/files/DRR/2024/TS0002%20Updated%20CADTH%20Reimbursement%20Recommendations%20.pdf', 'https://www.cadth.ca/sites/default/files/cdr/tracking/cdr_SR0370_Invokana.pdf', 'https://www.cadth.ca/sites/default/files/cdr/complete/SR0428_complete_Forxiga_Nov-24-15_e.pdf', 'https://www.cadth.ca/sites/default/files/cdr/clinical/SR0428_Forxiga_CL_Report.pdf', 'https://www.cadth.ca/sites/default/files/cdr/pharmacoeconomic/SR0428_Forxiga_PE_Report.pdf', 'https://www.cadth.ca/sites/default/files/cdr/relatedinfo/SR0428%20Forxiga_PI_Submissions_Consolidated_validated.pdf']","Diabetes mellitus, type 2",List with clinical criteria and/or conditions,Complete,30-Apr-15,20-Nov-15,SR0428-000
IvermectinOpens in new tab,Rosiver,Ivermectin,"['/sites/default/files/cdr/tracking/SR0429%20Rosiver.pdf', '/sites/default/files/cdr/complete/SR0429_complete_Rosiver_Nov-23-15_e.pdf', '/sites/default/files/cdr/clinical/SR0429_Rosiver_CL_Report.pdf', '/sites/default/files/cdr/pharmacoeconomic/SR0429_Rosiver_PE_Report.pdf', '/sites/default/files/cdr/relatedinfo/SR0429%20Rosiver_PI_Submissions_Consolidated_validated.pdf']",Rosacea,List with criteria/condition,Complete,30-Apr-15,19-Nov-15,SR0429-000
IvacaftorOpens in new tab,Kalydeco,Ivacaftor,"['/sites/default/files/cdr/tracking/cdr_SR0430_Kalydeco_R117H.pdf', '/sites/default/files/cdr/complete/SR0430_complete_Kalydeco_R117H_Nov-23-15_e.pdf', '/sites/default/files/cdr/clinical/SR0430_KalydecoR117H_CL_Report.pdf', '/sites/default/files/cdr/pharmacoeconomic/SR0430_KalydecoR117H_PE_Report.pdf', '/sites/default/files/cdr/relatedinfo/SR0430_KalydecoR117H_PI_Submissions.pdf']","Cystic fibrosis, R117H CFTR gating mutation",List with criteria/condition,Complete,08-May-15,19-Nov-15,SR0430-000
RotigotineOpens in new tab,Neupro,Rotigotine,"['/sites/default/files/cdr/tracking/cdr_SR0432_Neupro_Resubmission.pdf', '/sites/default/files/cdr/complete/SR0432_complete_Neupro_Resb_Nov-24-15_e.pdf', '/sites/default/files/cdr/clinical/SR0432_Neupro_CL_Report_resub.pdf', '/sites/default/files/cdr/pharmacoeconomic/SR0432_Neupro_PE_Report_resub.pdf', '/sites/default/files/cdr/relatedinfo/SR0432_Neupro_PI_Submissions.pdf']",Parkinson’s disease,List with clinical criteria and/or conditions,Complete,21-May-15,19-Nov-15,SR0432-000
