"Brand Name","Generic Name","Therapeutic Area","Recommendation Type","Project Status","Date Submission Received","Date Recommendation Issued","Project Number",Manufacturer
Juxtapid,Lomitapide,"Hypercholesterolemia, homozygous familial","Do not list",Complete,"Jul 8, 2014","Apr 17, 2015",SR0386-000,"Aegerion Pharmaceuticals (Canada) Ltd."
Kalydeco,Ivacaftor,"Cystic fibrosis, G551D mutation","List with criteria/condition",Complete,"Sep 27, 2012","Mar 22, 2013",SR0291-000,"Vertex Pharmaceuticals  Inc."
Kalydeco,Ivacaftor,"Cystic fibrosis, R117H CFTR gating mutation","List with criteria/condition",Complete,"May 8, 2015","Nov 19, 2015",SR0430-000,"Vertex Pharmaceuticals (Canada) Incorporated"
Kalydeco,Ivacaftor,"Cystic Fibrosis, CFTR gating mutations","List with criteria/condition",Complete,"May 1, 2014","Dec 19, 2014",SR0379-000,"Vertex Pharmaceuticals Canada"
Kanuma,"sebelipase alfa","Lysosomal acid lipase deficiency","Reimburse with clinical criteria and/or conditions",Complete,"Nov 2, 2017","Sep 26, 2018",SR0544-000,"Alexion Pharmaceuticals"
Kazano,"Alogliptin plus metformin","Diabetes mellitus, type 2","Do not list",Complete,"Jan 30, 2014","Jan 15, 2015",SR0367-000,"Takeda Canada Inc."
Kerendia,finerenone,"Chronic kidney disease","Reimburse with clinical criteria and/or conditions",Complete,"May 20, 2022","Mar 8, 2023",SR0737-000,"Bayer Inc."
Kesimpta,ofatumumab,"Multiple Sclerosis, relapsing","Reimburse with clinical criteria and/or conditions",Complete,"Aug 25, 2020","Feb 25, 2021",SR0657-000,"Novartis Pharmaceuticals Canada Inc."
Kevzara,sarilumab,"Arthritis, Rheumatoid","Reimburse with clinical criteria and/or conditions",Complete,"Oct 12, 2016","Apr 18, 2017",SR0503-000,"Sanofi Genzyme"
Keytruda,pembrolizumab,"Triple-negative breast cancer","Reimburse with clinical criteria and/or conditions",Complete,"Jun 20, 2022","Jan 6, 2023",PC0295-000,"Merck Canada Inc."
Keytruda,pembrolizumab,"Classical Hodgkin lymphoma","Reimburse with clinical criteria and/or conditions",Complete,"Jan 29, 2021","Nov 1, 2021",PC0236-000,"Merck Canada"
Keytruda,pembrolizumab,"Gastric or gastroesophageal junction (GEJ) adenocarcinoma","Reimburse with clinical criteria and/or conditions",Complete,"Mar 13, 2024","Oct 4, 2024",PC0356-000,"Merck Canada"
Keytruda,pembrolizumab,"Melanoma Adjuvant Treatment","Reimburse with clinical criteria and/or conditions",Complete,"Apr 26, 2022","Nov 4, 2022",PC0286-000,"Merck Canada Inc."
Keytruda,pembrolizumab,"Cervical cancer",,Active,"Mar 25, 2025",,PC0411-000,"Merck Canada Inc."
Keytruda,pembrolizumab,"Colorectal cancer","Reimburse with clinical criteria and/or conditions",Complete,"Nov 30, 2020","Jul 27, 2021",PC0235-000,"Merck Canada Inc."
Keytruda,pembrolizumab,"Esophageal carcinoma, gastroesophageal junction adenocarcinoma","Reimburse with clinical criteria and/or conditions",Complete,"May 26, 2021","Dec 20, 2021",PC0250-000,"Merck Canada"
Keytruda,pembrolizumab,"Primary mediastinal B-cell lymphoma","Canada’s Drug Agency is unable to make a reimbursement recommendation as the manufacturer has not filed a submission.","Not filed",,,NS0034-000,"Merck Canada Inc."
Keytruda,pembrolizumab,"Advanced endometrial cancer","Reimburse with clinical criteria and/or conditions",Complete,"Dec 15, 2021","Feb 3, 2023",PC0280-000,"Merck Canada Inc."
Keytruda,pembrolizumab,"Triple-negative breast cancer","Reimburse with clinical criteria and/or conditions",Complete,"Feb 17, 2022","Aug 31, 2022",PC0279-000,"Merck Canada Inc."
Keytruda,pembrolizumab,"Non-small cell lung cancer (NSCLC)","Reimburse with clinical criteria and/or conditions",Complete,"Jul 15, 2024","Jan 30, 2025",PC0369-000,"Merck Canada"
Keytruda,pembrolizumab,"Advanced or recurrent endometrial carcinoma",,Active,"Nov 14, 2024",,PC0383-000,"Merck Canada Inc."
Keytruda,pembrolizumab,"Renal cell carcinoma, adjuvant","Reimburse with clinical criteria and/or conditions",Complete,"Mar 3, 2022","Sep 29, 2022",PC0273-000,"Merck Canada Inc."
Keytruda,pembrolizumab,"Gastric or gastroesophageal junction adenocarcinoma","Reimburse with clinical criteria and/or conditions",Complete,"Nov 22, 2023","Jun 26, 2024",PC0343-000,"Merck Canada"
Keytruda,pembrolizumab,"Biliary tract carcinoma","Reimburse with clinical criteria and/or conditions",Complete,"Dec 7, 2023","Jul 11, 2024",PC0344-000,"Merck Canada Inc."
Keytruda,pembrolizumab,"Head and neck squamous cell carcinoma",,Active,"Mar 18, 2025",,PC0410-000,"Merck Canada Inc."
Keytruda,pembrolizumab,"Unresectable or metastatic MSI-H or dMMR solid tumors","Reimburse with clinical criteria and/or conditions",Complete,"Jul 16, 2024","Jan 31, 2025",PC0377-000,"Merck Canada Inc."
Keytruda,pembrolizumab,"recurrent, or metastatic cervical cancer","Reimburse with clinical criteria and/or conditions",Complete,"May 20, 2022","Dec 1, 2022",PC0292-000,"Merck Canada Inc."
Keytruda,pembrolizumab,"Advanced or metastatic malignant pleural mesothelioma",,Active,"Nov 27, 2024",,PC0387-000,"Merck Canada Inc."
Keytruda,pembrolizumab,"Non-Small Cell Lung Cancer, neoadjuvant","Reimburse with clinical criteria and/or conditions",Active,"Sep 17, 2024","Apr 4, 2025",PC0385-000,"Merck Canada Inc."
Keytruda,pembrolizumab,"Gastrointestinal Cancer","Canada’s Drug Agency is unable to make a reimbursement recommendation as the manufacturer has not filed a submission.","Not filed",,,NS0012-000,"Merck Canada Inc."
"Keytruda and Lenvima","pembrolizumab and lenvatinib","Advanced endometrial cancer",,Withdrawn,"Dec 15, 2021",,PC0271-000,"Merck Canada"
"Keytruda and Lenvima","pembrolizumab and lenvatinib","Advanced endometrial cancer","Reimburse with clinical criteria and/or conditions",Complete,"Mar 7, 2022","Sep 9, 2022",PC0288-000,"Merck Canada Inc."
Kimmtrak,tebentafusp,"unresectable or metastatic uveal melanoma","Reimburse with clinical criteria and/or conditions",Complete,"Apr 21, 2022","Jan 4, 2023",PC0290-000,"Medison Canada"
Kineret,anakinra,"Still's disease",,Withdrawn,"Dec 21, 2020",,SR0662-000,"Swedish Orphan Biovitrum AB"
Kisqali,ribociclib,"Adjuvant treatment of HR-positive, HER2-negative early breast cancer",,Active,"Dec 19, 2024",,PC0395-000,"Novartis Pharmaceuticals Canada Inc."
Kivexa,Abacavir/lamivudine,"HIV infection","List in a similar manner to other drugs in class",Complete,"Jul 26, 2005","Dec 7, 2005",SR0038-000,GlaxoSmithKline
Komboglyze,"Saxagliptin + metformin","Diabetes Mellitus, type 2","List with criteria/condition",Complete,"Aug 23, 2013","Jun 20, 2014",SR0348-000,"AstraZeneca Canada Inc."
Komboglyze,"Saxagliptin + metformin","Diabetes Mellitus, Type 2",,Withdrawn,"Jun 6, 2013",,SR0336-000,"Bristol-Myers Squibb / AstraZeneca Canada Inc."
Korsuva,difelikefalin,"Chronic kidney disease","Do not reimburse",Complete,"Sep 22, 2022","Jul 13, 2023",SR0752-000,"Otsuka Canada Pharmaceutical Inc."
Koselugo,selumetinib,"Neurofibromatosis type 1","Reimburse with clinical criteria and/or conditions",Complete,"Oct 28, 2022","May 10, 2023",SR0764-000,"Alexion Pharma GmbH"
Kuvan,"Sapropterin dihydrochloride","Phenylketonuria (PKU)","Do not list",Complete,"Jul 8, 2010","Jan 26, 2011",SR0205-000,"BioMarin Pharmaceutical Canada Inc."
Kuvan,"Sapropterin dihydrochloride",Phenylketonuria,N/A,Complete,"Jun 1, 2011",,SF0236-000,"BioMarin Pharmaceutical Canada Inc."
Kuvan,"Sapropterin dihydrochloride","Phenylketonuria (PKU)","Reimburse with clinical criteria and/or conditions",Complete,"Feb 1, 2016","Oct 26, 2016",SR0472-000,"BioMarin Pharmaceutical (Canada) Inc."
Kymriah,tisagenlecleucel,"Relapsed or refractory follicular lymphoma","Reimburse with clinical criteria and/or conditions",Complete,"Feb 1, 2023","Sep 1, 2023",PG0306-000,"Novartis Pharmaceuticals Canada Inc."
Kynmobi,"apomorphine hydrochloride","Parkinson’s Disease",,Withdrawn,"Feb 25, 2019",,SR0604-000,"Sunovion Pharmaceuticals Canada Inc."
Kynmobi,"apomorphine hydrochloride","Parkinson’s disease","Reimburse with clinical criteria and/or conditions",Complete,"Jun 25, 2020","Feb 24, 2021",SR0650-000,"Sunovion Pharmaceuticals Canada Inc."
Lancora,Ivabradine,"Heart failure, NYHA class II or III","Reimburse with clinical criteria and/or conditions",Complete,"Nov 8, 2016","May 24, 2017",SR0506-000,"Servier Canada Inc."
Lantus,"Insulin glargine (rDNA origin)","Diabetes mellitus, Type 1 & 2","Do not list",Complete,"Mar 27, 2006","Oct 25, 2006",SR0058-000,"Sanofi-Aventis Canada Inc."
Lantus,"Insulin glargine (rDNA origin)","Diabetes mellitus, Type 1 & 2","Do not list",Complete,"Feb 11, 2005","Sep 28, 2005",SR0033-000,"Aventis Pharma Inc."
Lantus,"Insulin glargine (rDNA origin)","Diabetes mellitus, Type 1 & 2",N/A,Complete,"Jun 9, 2009",,SF0166-000,"Sanofi-Aventis Canada Inc."
Lapelga,Pegfilgrastim,"Febrile neutropenia",N/A,Complete,"Feb 23, 2018",,SE0555-000,Apobiologix
Latuda,lurasidone,"Bipolar I disorder","Canada’s Drug Agency is unable to make a reimbursement recommendation as the manufacturer has not filed a submission.","Not filed",,,NS0010-000,"Sunovion Pharmaceuticals Inc."
Latuda,Lurasidone,Schizophrenia,"Do not list",Complete,"Jul 3, 2012","Jan 23, 2013",SR0284-000,"Sunovion Pharmaceuticals Inc."
Latuda,Lurasidone,Schizophrenia,"List with criteria/condition",Complete,"May 9, 2013","Dec 20, 2013",SR0331-000,"Sunovion Pharmaceuticals Inc."
"Lazcluze and Rybrevant","lazertinib and amivantamab","Locally advanced or metastatic non-small cell lung cancer (NSCLC)",,Active,"Dec 18, 2024",,PC0392-000,"Janssen Inc."
Ledaga,"chlormethine hydrochloride","T-cell lymphoma","Do not reimburse",Complete,"Dec 21, 2020","Nov 24, 2021",PC0242-000,"Recordati Rare Diseases Canada Inc."
Lemtrada,Alemtuzumab,"Multiple sclerosis, relapsing-remitting",,Withdrawn,"Oct 1, 2013",,SR0355-000,"Genzyme Canada, a Division of sanofi-aventis Canada Inc."
Lemtrada,Alemtuzumab,"Multiple sclerosis, relapsing-remitting","List with criteria/condition",Complete,"Nov 27, 2014","Jun 18, 2015",SR0405-000,"Genzyme Canada, a Division of Sanofi-Aventis Canada Inc."
"Lenvima and Keytruda","lenvatinib and pembrolizumab","advanced or metastatic renal cell carcinoma","Reimburse with clinical criteria and/or conditions",Complete,"Nov 15, 2021","Jun 23, 2022",PC0268-000,"Eisai Limited"
Leqembi,lecanemab,"Alzheimer’s disease",,Suspended,"Jun 14, 2024",,SR0822-000,"Eisai Canada"
Leqvio,inclisiran,"Primary hypercholesterolemia","Reimburse with clinical criteria and/or conditions",Complete,"Sep 19, 2023","Aug 15, 2024",SR0791-000,"Novartis Pharmaceuticals Canada Inc."
Leqvio,inclisiran,"Primary hypercholesterolemia","Do not reimburse",Complete,"Mar 17, 2021","Feb 7, 2022",SR0681-000,"Novartis Pharmaceuticals Canada Inc."
Leqvio,inclisiran,"Primary hypercholesterolemia","Do not reimburse",Complete,"Sep 19, 2023","Apr 22, 2024",SR0791-001,"Novartis Pharmaceuticals Canada Inc."
Levemir,"Insulin detemir","Diabetes mellitus Type1, Pediatrics","Do not list",Complete,"Mar 10, 2009","Aug 20, 2009",SR0172-000,"Novo Nordisk Canada Inc."
Levemir,"Insulin detemir","Diabetes mellitus",,Withdrawn,"Feb 2, 2009",,SR0158-000,"Novo Nordisk Canada Inc."
Levemir,"Insulin detemir","Diabetes mellitus","Do not list",Complete,"Dec 19, 2005","Aug 2, 2006",SR0049-000,"Novo Nordisk Canada Inc."
Levemir,"Insulin detemir","Diabetes mellitus","Do not list",Complete,"Mar 10, 2009","Aug 20, 2009",SR0160-000,"Novo Nordisk Canada Inc."
Libtayo,cemiplimab,"Basal cell carcinoma","Reimburse with clinical criteria and/or conditions",Complete,"Aug 19, 2021","Mar 4, 2022",PC0260-000,"Sanofi Genzyme, a division of sanofi-aventis Canada Inc."
Libtayo,cemiplimab,"Locally advanced or metastatic NSCLC (first line)","Reimburse with clinical criteria and/or conditions",Complete,"Sep 27, 2023","May 2, 2024",PC0331-000,"sanofi-aventis Canada Inc."
Libtayo,cemiplimab,"Non-small cell lung cancer","Reimburse with clinical criteria and/or conditions",Complete,"Oct 13, 2021","Jun 2, 2022",PC0262-000,"Sanofi Genzyme, a division of Sanofi-Aventis Canada Inc."
Livmarli,maralixibat,"Alagille syndrome","Reimburse with clinical criteria and/or conditions",Complete,"May 5, 2023","Apr 22, 2024",SR0780-000,"Mirum Pharmaceuticals Inc."
Livtencity,maribavir,"Post-transplant cytomegalovirus infection","Reimburse with clinical criteria and/or conditions",Complete,"Mar 31, 2022","Nov 4, 2022",SR0720-000,"Takeda Canada Inc."
"Lixiana NVAF",Edoxaban,"Nonvalvular atrial fibrillation, prevention of stroke and systemic embolism.","Reimburse with clinical criteria and/or conditions",Complete,"Sep 9, 2016","Mar 21, 2017",SR0500-000,"Daiichi Sankyo, Inc."
"Lixiana VTE",Edoxaban,"Venous thromboembolism, treatment and recurrence prevention.","Reimburse with clinical criteria and/or conditions",Complete,"Sep 9, 2016","May 25, 2017",SR0499-000,"Daiichi Sankyo, Inc."
Lodalis,"Colesevelam hydrochloride",Hypercholesterolemia,"Do not list at the submitted price",Complete,"Apr 27, 2012","Dec 19, 2012",SR0274-000,"Valeant Canada LP"
Lokelma,"sodium zirconium cyclosilicate","Hyperkalemia, adults","Do not reimburse",Complete,"May 17, 2019","Mar 25, 2020",SR0612-000,"AstraZeneca Canada Inc."
Lonsurf,"trifluridine and tipiracil","Metastatic colorectal cancer","Reimburse with clinical criteria and/or conditions",Complete,"Aug 15, 2023","Feb 29, 2024",PC0330-000,"Taiho Pharma Canada, Inc."
Lorbrena,lorlatinib,"ALK-positive locally advanced or metastatic non-small cell lung","Reimburse with clinical criteria and/or conditions",Complete,"Jun 18, 2021","Mar 17, 2022",PC0249-000,"Pfizer Canada"
Lotemax,"Loteprednol etabonate","Post-operative inflammation following cataract surgery","Do not list",Complete,"Dec 2, 2009","May 19, 2010",SR0186-000,"Bausch & Lomb"
Lucentis,Ranibizumab,"Macular edema, diabetic","List with clinical criteria and/or conditions",Complete,"Sep 14, 2011","Mar 19, 2012",SR0253-000,"Novartis Pharmaceuticals Canada Inc."
Lucentis,Ranibizumab,"Myopic choroidal neovascularisation","List with criteria/condition",Complete,"Feb 28, 2014","Feb 19, 2015",SR0373-000,"Novartis Pharmaceuticals Canada Inc."
Lucentis,"Ranibizumab injection","Macular edema, secondary to retinal vein occlusion","List with clinical criteria and/or conditions",Complete,"Apr 25, 2012","Oct 18, 2012",SR0276-000,"Novartis Pharmaceuticals Canada Inc."
Lucentis,Ranibizumab,"Macular degeneration, age-related","List with clinical criteria and/or conditions",Complete,"Jul 12, 2007","Mar 27, 2008",SR0098-000,"Novartis Pharmaceuticals Inc."
Lumakras,sotorasib,"KRAS G12C-mutated advanced NSCLC","Do not reimburse",Complete,"Aug 19, 2022","Feb 29, 2024",PC0300-000,"Amgen Canada Inc."
Lutathera,"lutetium oxodotreotide","Gastroenteropancreatic neuroendocrine tumours (GEP-NETs)","Reimburse with clinical criteria and/or conditions",Complete,"Mar 23, 2022","Sep 28, 2022",PC0284-000,"Advanced Accelerator Applications (AAA)"
Luxturna,"voretigene neparvovec","Vision loss, inherited retinal dystrophy","Reimburse with clinical criteria and/or conditions",Complete,"Apr 23, 2020","Nov 12, 2020",SG0643-000,"Novartis Pharmaceuticals Canada Inc."
Lynparza,olaparib,"Metastatic castration-resistant prostate cancer (mCRPC)","Reimburse with clinical criteria and/or conditions",Complete,"May 19, 2023","Jan 31, 2024",PC0319-000,"AstraZeneca Canada Inc."
Lynparza,olaparib,"Breast Cancer","Canada’s Drug Agency is unable to make a reimbursement recommendation as the manufacturer has not filed a submission.","Not filed",,,NS0013-000,"AstraZeneca Canada"
Lynparza,olaparib,"gBRCAm, HER2-negative high-risk early breast cancer","Reimburse with clinical criteria and/or conditions",Complete,"Aug 3, 2022","Mar 1, 2023",PC0299-000,"AstraZeneca Canada Inc."
Lyrica,Pregabalin,"diabetic peripheral neuropathy","Do not list",Complete,"Mar 20, 2009","Sep 23, 2009",SR0162-000,"Pfizer Canada Inc."
Lyrica,Pregabalin,"Pain, Neuropathic","Do not list",Complete,"Jun 27, 2005","Jan 25, 2006",SR0036-000,"Pfizer Canada Inc."
Macugen,"Pegaptanib sodium","Macular degeneration, age-related","Do not list",Complete,"Oct 20, 2005","May 25, 2006",SR0044-000,"Pfizer Canada Inc."
MAR-Trientine,"Trientine Hydrochloride","Wilson's Disease","Reimburse with clinical criteria and/or conditions",Complete,"Apr 19, 2021","Nov 11, 2021",SR0680-000,"Marcan Pharmaceuticals Inc."
Mavenclad,cladribine,"Multiple Sclerosis, relapsing-remitting","Reimburse with clinical criteria and/or conditions",Complete,"Dec 1, 2017","Oct 24, 2018",SR0546-000,"EMD Serono, a Division of EMD Inc., Canada"
Maviret,"glecaprevir pibrentasvir","Hepatitis C, chronic","Reimburse with clinical criteria and/or conditions",Complete,"Jun 9, 2017","Jan 23, 2018",SR0523-000,"AbbVie Corporation"
Maviret,"glecaprevir / pibrentasvir","Hepatitis C, chronic","Canada’s Drug Agency is unable to make a reimbursement recommendation as the manufacturer has not filed a submission.","Not filed",,,NS0023-000,"Pfizer Canada Inc."
Mayzent,siponimod,"Secondary progressive multiple sclerosis","Reimburse with clinical criteria and/or conditions",Complete,"Sep 26, 2019","Jul 21, 2020",SR0631-000,"Novartis Pharmaceuticals Canada Inc."
MDK-Nitisinone,nitisinone,"Hereditary tyrosinemia type 1","Reimburse with clinical criteria and/or conditions",Complete,"Sep 29, 2017","Apr 25, 2018",SR0538-000,"MendeliKABS Inc"
Mictoryl,"Propiverine hydrochloride","Overactive bladder (OAB)","Reimburse with clinical criteria and/or conditions",Complete,"Oct 14, 2016","Apr 19, 2017",SR0504-000,"Duchesnay Inc."
Mifegymiso,"Mifepristone and misoprostol","Medical termination of pregnancy (gestational age up to 49 days)",Reimburse,Complete,"Oct 7, 2016","Apr 18, 2017",SR0502-000,"Celopharma Inc."
Mifegymiso,"Mifepristone and misoprostol","Medical termination of pregnancy (gestational age up to 49 days)",,Withdrawn,"Feb 12, 2016",,"SR0473 -000","Celopharma Inc."
Minjuvi,tafasitamab,"Diffuse large B-cell lymphoma (DLBCL)","Do not reimburse",Complete,"Nov 19, 2021","Sep 29, 2022",PC0266-000,"Incyte Biosciences Canada Corporation"
Monoferric,"Iron (III) Isomaltoside 1000","iron deficiency anemia","Reimburse with clinical criteria and/or conditions",Complete,"Jun 26, 2019","Mar 25, 2020",SR0622-000,"Pharmacosmos A/S"
Monoprost,latanoprost,"glaucoma and ocular hypertension","Reimburse with clinical criteria and/or conditions",Complete,"Oct 25, 2017","Apr 24, 2018",SR0541-000,"Laboratoires Théa"
Movapo,"apomorphine hydrochloride","Parkinson's disease","Reimburse with clinical criteria and/or conditions",Complete,"Jul 6, 2017","Jan 23, 2018",SR0527-000,"Paladin Labs Inc."
Mozobil,Plerixafor,"Hematopoietic stem cell mobilizer in non-Hodgkin's lymphoma and multiple myeloma","Do not list",Complete,"Jan 24, 2012","Sep 26, 2012",SR0265-000,"Genzyme Canada Inc."
Multaq,"Dronedarone hydrochloride","Atrial fibrillation","Do not list",Complete,"Sep 18, 2009","May 27, 2010",SR0177-000,"Sanofi-Aventis Canada Inc."
Myalepta,metreleptin,"Leptin deficiency in lipodystrophy","Reimburse with clinical criteria and/or conditions",Complete,"Jul 25, 2023","May 9, 2024",SR0784-000,"Medison Pharma Canada Inc."
Myfembree,"relugolix, estradiol, and norethindrone acetate","Management of heavy menstrual bleeding associated with uterine fibroids",,Active,"Feb 4, 2025",,SR0885-000,"Pfizer Canada ULC and Sumitomo Pharma Switzerland GmbH"
Myfortic,"Mycophenolate sodium","Organ rejection in allogeneic renal transplants, Prophylaxis","List in a similar manner to other drugs in class",Complete,"Mar 3, 2005","Jul 8, 2005",SR0034-000,"Novartis Pharmaceuticals Canada Inc."
Myinfla,colchicine,"Atherothrombotic events in coronary artery disease","Do not reimburse",Complete,"May 28, 2021","Mar 8, 2022",SR0691-000,"Pendopharm, a division of Pharmascience Inc."
Myozyme,Alglucosidase,"Pompe's disease","List with clinical criteria and/or conditions",Complete,"Oct 10, 2006","Jun 14, 2007",SR0080-000,"Genzyme Canada Inc."
Myrbetriq,Mirabegron,"Overactive bladder","List with criteria/condition",Complete,"Nov 27, 2013","Nov 12, 2014",SR0363-000,"Astellas Pharma Canada Inc."
Myrbetriq,Mirabegron,"Overactive bladder",,Withdrawn,"Mar 8, 2013",,SR0319-000,"Astellas Pharma Canada, Inc."
n/a,"abiraterone acetate and prednisolone","High-risk non-metastatic prostate cancer","Reimburse with clinical criteria and/or conditions",Complete,"Mar 23, 2022","Sep 8, 2023","PX0291-000 - PC0291-000",n/a
N/A,"brentuximab vedotin","Hodgkin lymphoma",,Received,"May 6, 2025",,PX0381-000,N/A
N/A,panitumumab,"Left-sided metastatic colorectal cancer (mCRC)","Reimburse with clinical criteria and/or conditions",Complete,"May 19, 2023","Apr 18, 2024",PX0333-000,
N/A,naloxagol,"Management of opioid-induced constipation (OIC).",,Active,"Nov 19, 2024",,SX0753-000,N/A
N/A,ibrutinib,Hematology,,Received,,,PX0380-000,
N/A,rivaroxaban,"Venous thromboembolic events (VTE)","Reimburse with clinical criteria and/or conditions",Complete,"Jun 29, 2022","Nov 2, 2023","SX0750-000 - SR0750-000",N/A
N/A,cabozantinib,"Neuroendocrine tumours",,Active,,,PX0378-000,N/A
N/A,Pembrolizumab,"Melanoma (Skin)","Reimburse with clinical criteria and/or conditions",Complete,"Oct 16, 2023","Aug 1, 2024",PX0346-000,N/A
N/A,nab-paclitaxel,"Gastrointestinal cancer","Reimburse with clinical criteria and/or conditions",Complete,"Feb 12, 2024",,PX0360-000,N/A
N/A,"nivolumab ipilimumab",Melanoma,"Reimburse with clinical criteria and/or conditions",Complete,"Jun 25, 2024","Feb 4, 2025",PX0371-000,N/A
N/A,Mepolizumab,"Eosinophilic Granulomatosis with Polyangiitis","Reimburse with clinical criteria and/or conditions",Complete,"Dec 19, 2023","Nov 25, 2024",SX0839-000,
N/A,dapagliflozin,"Chronic kidney disease","Reimburse with clinical criteria and/or conditions",Complete,"Jun 17, 2022","Aug 23, 2023","SX0749-000 - SR0749-000",N/A
N/A,fidaxomicin,"Clostridioides difficile infection",,Active,"Nov 13, 2024",,SX0754-000,N/A
N/A,"guanfacine hydrochloride extended-release","Attention Deficit Hyperactivity Disorder (ADHD)",,Pending,"Mar 6, 2025",,SX0755-000,N/A
N/A,"abiraterone, prednisone, docetaxel","Metastatic castration sensitive prostate cancer (mCSPC)",Reimburse,Complete,"Jun 13, 2022","Sep 8, 2023","PX0298-000 - PC0298-000",N/A
N/A,"Nivolumab and Ipilimumab","Melanoma (Skin)","Reimburse with clinical criteria and/or conditions",Complete,"Oct 16, 2023","Aug 1, 2024",PX0347-000,N/A
N/A,Nab-paclitaxel,"Solid tumours","Reimburse with clinical criteria and/or conditions",Complete,"Oct 16, 2023","Jul 24, 2024",PX0348-000,N/A
N/A,"dimethyl fumarate","Multiple Sclerosis (MS)","Reimburse with clinical criteria and/or conditions",Complete,"Jun 21, 2024","Feb 4, 2025",SX0751-000,N/A
N/A,trametinib,"Gynecological cancers","Reimburse with clinical criteria and/or conditions",Complete,"Aug 28, 2024","Apr 2, 2025",PX0372-000,N/A
N/A,"Dabrafenib trametinib","Head and neck cancer","Reimburse with clinical criteria and/or conditions",Complete,"Oct 7, 2024","May 16, 2025",PX0373-000,N/A
N/A,everolimus,"Tuberous Sclerosis Complex (TSC)","Reimburse with clinical criteria and/or conditions",Complete,"Dec 13, 2023","Dec 3, 2024",SX0836-000,N/A
N/A,Nab-paclitaxel,"Gastrointestinal cancer","Do not reimburse",Complete,"Dec 21, 2023",,PX0354-000,N/A
N/A,imiquimod,"Gynecological cancers",,Withdrawn,"Mar 6, 2024",,PX0364-000,N/A
N/A,tofacitinib,"Juvenile idiopathic arthritis, idiopathic arthritis",,Pending,"May 1, 2025",,SX0757-000,N/A
N/A,everolimus,"Renal angiomyolipoma associated with tuberous sclerosis","Reimburse with clinical criteria and/or conditions",Complete,"Jul 6, 2023","Apr 18, 2024",SX0814-000,N/A
N/A,nivolumab,"Hodgkin lymphoma",,Active,"Nov 12, 2024",,PX0376-000,N/A
N/A,trabectedin,"Soft tissue and uterine leiomyosarcoma",,Active,,,PX0377-000,N/A
N/A,Aripiprazole,Depression,,Active,"Mar 11, 2025",,SX0756-000,
N/A,Enzalutamide,"Genito-urinary cancer (prostate cancer)","Reimburse with clinical criteria and/or conditions",Complete,"Apr 30, 2024","Nov 26, 2024",PX0366-000,N/A
N/A,eltrombopag,"Severe Aplastic Anemia (SAA)","Reimburse with clinical criteria and/or conditions",Complete,"Mar 3, 2023","Jan 10, 2024",SX0777-000,N/A
N/A,pertuzumab,"HER2+ breast cancer",,Active,,,PX0379-000,N/A
N/A,blinatumomab,"Acute lymphoblastic leukemia, pediatrics","Reimburse with clinical criteria and/or conditions",Complete,"Jun 11, 2024","Feb 4, 2025",PX0367-000,N/A
N/A,"bevacizumab and lomustine","Recurrent glioblastoma multiform","Reimburse with clinical criteria and/or conditions",Complete,"Feb 17, 2023","Dec 20, 2023",PX0318-000,N/A
N/A,teriflunomide,"Multiple Sclerosis (MS)","Reimburse with clinical criteria and/or conditions",Complete,"Jun 21, 2024","Feb 4, 2025",SX0752-000,N/A
N/A,regorafenib,"Metastatic osteosarcoma",,Active,"Oct 7, 2024",,PX0374-000,N/A
Naglazyme,"Galsulfase (Drug Plan Submission)","Mucopolysaccharidosis VI (Maroteaux-Lamy syndrome)","List with clinical criteria and/or conditions",Complete,"Aug 20, 2015","Feb 19, 2016",SR0434-000,"BioMarin Pharmaceutical (Canada) Inc."
Nesina,Alogliptin,"Diabetes mellitus, type 2","Do not list",Complete,"Jan 30, 2014","Jan 15, 2015",SR0368-000,"Takeda Canada Inc."
Neulasta,Pegfilgrastim,Neutropenia,"List with clinical criteria and/or conditions",Complete,"Mar 29, 2004","Oct 27, 2004",SR0009-000,"Amgen Canada Inc."
Neupro,Rotigotine,"Parkinson's disease","Do not list",Complete,"Jul 31, 2013","May 28, 2014",SR0344-000,"UCB Canada Inc."
Neupro,Rotigotine,"Parkinson’s disease","List with clinical criteria and/or conditions",Complete,"May 21, 2015","Nov 19, 2015",SR0432-000,"UCB Canada Inc."
Nexavar,"Sorafenib tablets","Cancer, Renal cell carcinoma","Do not list",Complete,"Jul 31, 2006","Feb 28, 2007",SR0071-000,"Bayer Inc."
Nexplanon,etonogestrel,"Prevention of pregnancy","Reimburse with clinical criteria and/or conditions",Complete,"Jun 3, 2020","Oct 20, 2020",SR0648-000,"Merck Canada Inc."
Nexviazyme,"avalglucosidase alfa","Pompe disease","Reimburse with clinical criteria and/or conditions",Complete,"Sep 30, 2021","Jul 5, 2022",SR0703-000,"Sanofi Genzyme, a division of sanofi-aventis Canada Inc."
Ngenla,somatrogon,"Growth hormone deficiency","Reimburse with clinical criteria and/or conditions",Complete,"Jun 3, 2021","Mar 8, 2022",SR0683-000,"Pfizer Canada ULC"
Nitisinone,nitisinone,"Hereditary tyrosinemia type 1","Reimburse with clinical criteria and/or conditions",Complete,"Jan 25, 2018","Aug 23, 2018",SR0554-000,"Cycle Pharmaceuticals Ltd."
