Title,Brand Name,Generic Name,PDF Links,Therapeutic Area,Recommendation,Status,Submission Date,Recommendation Date,Project Number
onabotulinumtoxina,Botox,onabotulinumtoxinA,https://www.cda-amc.ca/sites/default/files/cdr/clinical/sr0584-botox-clinical-review-report-resubmission.pdf; https://www.cda-amc.ca/sites/default/files/cdr/complete/SR0584%20Botox%20Resubmission%20-%20CDEC%20Final%20Recommendation%20October%2022%2C%202019_for%20posting.pdf; https://www.cda-amc.ca/sites/default/files/cdr/pharmacoeconomic/sr0584-botox-pharmacoeconomic-review-report-resubmission.pdf; https://www.cda-amc.ca/sites/default/files/cdr/relatedinfo/SR0584%20Botox%20Resubmission%20-%20Consolidated%20Patient%20Input_Dec%202018_Redacted.pdf,"Migraine, chronic",Reimburse with clinical criteria and/or conditions,Complete,"Nov 2, 2018","Oct 17, 2019",SR0584-000
keytruda metastatic urothelial carcinoma first line,Keytruda,Pembrolizumab,https://www.cda-amc.ca/sites/default/files/pcodr/PembrolizumabKeytruda_MUCfirstline10177ProvFunding.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10177PembrolizumabMM%28first%20line%29_InRec_REDACT_Post_01Aug2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10177PembrolizumabMUC%28firstline%29_ClinicianFeedback_CCO_2019-08-16_Post_03Oct2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10177PembrolizumabMUC%28firstline%29_Combined%20ClinicianCOIs_Post_03Oct2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10177PembrolizumabMUC%28firstline%29_FnRec_REDACT_Post_03Oct2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10177PembrolizumabMUC%28firstline%29_PAGFeedbackSummary_FINAL_Post_03Oct2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10177PembrolizumabMUC%28firstline%29_PatientFeedback_BCC_2019-08-16__Post_03Oct2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10177PembrolizumabMUC%28firstline%29_PtGrp_COI_Post_03Oct2019_final_Redacted.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10177PembrolizumabMUC%28firstline%29_SubmitterFeedback_2019-08-16_Post_03Oct2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10177PembrolizumabMUC%28firstline%29_fnCGR_REDACT_Post_03Oct2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10177PembrolizumabMUC%28firstline%29_fnEGR_NOREDACT-ABBREV_Post_03Oct2019_final.pdf,MUC First line,Do not reimburse,Complete,"Feb 20, 2019","Oct 3, 2019",PC0177-000
dolutegravir lamivudine,Dovato,dolutegravir / lamivudine,https://www.cda-amc.ca/sites/default/files/cdr/clinical/sr0601-dovato-clinical-review-report.pdf; https://www.cda-amc.ca/sites/default/files/cdr/complete/SR0601%20Dovato%20-%20CDEC%20Final%20Recommendation%20October%202%2C%202019_for%20posting.pdf; https://www.cda-amc.ca/sites/default/files/cdr/pharmacoeconomic/sr0601-dovato-pharmacoeconomic-review-report.pdf; https://www.cda-amc.ca/sites/default/files/cdr/relatedinfo/sr0601-dovato-patient-input.pdf,HIV-1 infection,Reimburse with clinical criteria and/or conditions,Complete,"Feb 21, 2019","Sep 30, 2019",SR0601-000
fluocinolone acetonide intravitreal implant,Iluvien,fluocinolone acetonide intravitreal implant,https://www.cda-amc.ca/sites/default/files/cdr/complete/SR0608%20Iluvien%20-%20CDEC%20Final%20Recommendation%20September%2030%2C%202019_for%20posting.pdf; https://www.cda-amc.ca/sites/default/files/cdr/relatedinfo/SR0608-Iluvien-patient-input.pdf; https://www.cda-amc.ca/sites/default/files/cdr/relatedinfo/sr0608-iIluvien-clinical-review-report.pdf; https://www.cda-amc.ca/sites/default/files/cdr/relatedinfo/sr0608-iIluvien-pharmacoeconomic-review-report.pdf,diabetic macular edema,Do not reimburse,Complete,"Apr 3, 2019","Sep 26, 2019",SR0608-000
pomalyst combination dexamethasone and bortezomib multiple myeloma second line or beyond,Pomalyst,Pomalidomide,https://www.cda-amc.ca/sites/default/files/pcodr/PomalidomidePomalystDex%26Bortez_MM2ndline10165_ProvFunding.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10165PomalidomideBortezomibMM_COI_Post_18Sep2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10165PomalidomideBortezomibMM_ClinicianFeedback_CCO_2019-09-09_Post_18Sep2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10165PomalidomideBortezomibMM_Combined%20Clinician_COI_Post_18Sep2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10165PomalidomideBortezomibMM_InRec_approvedbyChair_Post_29Aug2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10165PomalidomideBortezomibMM_PAGFeedbackSummary_FINAL_Post_18Sep2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10165PomalidomideBortezomibMM_SubmitterFeedback_2019-09-13_Post_18Sep2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10165PomalidomideBortezomibMM_fnCGR_REDACT_EarlyConv_Post_18Sep2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10165PomalidomideBortezomibMM_fnEGR_NOREDACT-ABBREV_EarlyConv_Post_18Sep2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10165PomalidomideBortezomibMM_fnRec_EarlyConv_18Sep2019_final.pdf,Multiple Myeloma,Reimburse with clinical criteria and/or conditions,Complete,"Mar 15, 2019","Sep 18, 2019",PC0165-000
trifluridine and tipiracil lonsurf metastatic colorectal cancer resubmission,Lonsurf,Trifluridine and Tipiracil,https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10173Trifluridine-TipiracilmCRC_ClinicianFeedback_Ko_2019-07-19_Post_29Aug2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10173Trifluridine-TipiracilmCRC_Clinicians%20COIs_Post_29Aug2019_final_Redacted.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10173Trifluridine-TipiracilmCRC_PAGFeedbackSummary_FINAL_2019-07-15_Post_29Aug2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10173Trifluridine-TipiracilmCRC_Patient%20COIs_Post_29Aug2019_final_Redacted.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10173Trifluridine-TipiracilmCRC_PatientFeedback_CCC_2019-07-19_Post_29Aug2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10173Trifluridine-TipiracilmCRC_SubmitterFeedback_2019-07-19_Post_29Aug2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10173Trifluridine-TipiracilmCRC_fnCGR_NOREDACT_Post_29Aug2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10173Trifluridine-TipiracilmCRC_fnEGR_NOREDACT-ABBREV_Post_29Aug2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10173Trifluridine-TipiracilmCRC_fnrec_Chair%20Approved_Post_29Aug2019_revised_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10173Trifluridine-TipiracilmCRC_inRec_Chair%20approved_NOREDACT_Post_05Jul2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr_provfund-10173-trifluridine-tipiracil_lonsurf_mcrc.pdf,mCRC Resubmission,Do not reimburse,Complete,"Jan 21, 2019","Aug 29, 2019",PC0173-000
darzalex combo bortezomib melphalan and prednisone multiple myeloma newly diagnosed,Darzalex,Daratumumab,https://www.cda-amc.ca/sites/default/files/pcodr/DaratumumabDarzalex_NewlyDiagnosedMM10148_ProvFunding.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10148Daratumumab%2BVMPforMM_ClinicianFeedback_CCO_2019-07-15_Post_29Aug2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10148Daratumumab%2BVMPforMM_Combined%20Clinician%20COIs_Post_28Aug2019_Redacted.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10148Daratumumab%2BVMPforMM_PAGFeedbackSummary_FINAL_2019-07-16_Post_29Aug2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10148Daratumumab%2BVMPforMM_PatientFeedback_MC_2019-07-08_Post_29Aug2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10148Daratumumab%2BVMPforMM_PatientI_COI_Post_29Aug2019.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10148Daratumumab%2BVMPforMM_SubmitterFeedback_2019-07-19_Post_29Aug2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10148Daratumumab%2BVMPforMM_fnCGR_REDACT_Post_29Aug2910_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10148Daratumumab%2BVMPforMM_fnEGR_NOREDACT-ABBREV_Post_29Aug2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10148Daratumumab%2BVMPforMM_fnRec_REDACT_Post_29Aug2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10148Daratumumab%2BVMPforMM_inRec_ApprovedbyChair_REDACT_Post_05Jul2019_final.pdf,BMP for Multiple Myeloma (newly diagnosed),Reimburse with clinical criteria and/or conditions,Complete,"Jan 4, 2019","Aug 29, 2019",PC0148-000
baricitinib,Olumiant,baricitinib,https://www.cda-amc.ca/sites/default/files/cdr/clinical/sr0597-olumiant-clinical-review-report.pdf; https://www.cda-amc.ca/sites/default/files/cdr/complete/SR0597%20Olumiant%20-%20CDEC%20Final%20Recommendation_for%20posting.pdf; https://www.cda-amc.ca/sites/default/files/cdr/pharmacoeconomic/sr0597-olumiant-pharmacoeconomic-review-report.pdf; https://www.cda-amc.ca/sites/default/files/cdr/relatedinfo/SR0597%20Olumiant%20-%20Patient%20Group%20Input_February%207%2C%202019.pdf,"Arthritis, Rheumatoid",Reimburse with clinical criteria and/or conditions,Complete,"Dec 20, 2018","Aug 2, 2019",SR0597-000
lutathera gastroenteropancreatic neuroendocrine tumors,Lutathera,Lutetium Lu 177 dotatate,https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10142LutetiumLu177dotatateGEP-NET_COI_Post_01Aug2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10142LutetiumLu177dotatateGEP-NET_PAGFeedbackSummary_FINAL_Post_01Aug2019_draft.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10142LutetiumLu177dotatateGEP-NET_PatientFeedback_CNETS_2019-06-28_Post_01Aug2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10142LutetiumLu177dotatateGEP-NET_SubmitterFeedback_2019-06-14_Post_01Aug2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10142LutetiumLu177dotatateGEP-NET_fnCGR_NOREDACT_Post_01Aug2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10142LutetiumLu177dotatateGEP-NET_fnEGR_NOREDACT-ABBREV_Post_01Aug2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10142LutetiumLu177dotatateGEP-NET_fnRec_Post_01Aug2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10142LutetiumLu177dotatateGEP-NET_inRec_approvedbyChair_Post_NOREDACT_31May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-provfund-10142-LutetiumLutathera_GEP_NETs.pdf,Gastroenteropancreatic Neuroendocrine Tumors (GEP-NETs),Reimburse with clinical criteria and/or conditions,Complete,"Jul 30, 2018","Aug 1, 2019",PC0142-000
brigatinib alunbrig non small cell lung cancer nsclc,Alunbrig,Brigatinib,https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10167BrigatinibNSCLC_Combined_ClinicianFeedback_2019-06-14_Post_01Aug2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10167BrigatinibNSCLC_Combined_Clinician_COIs_01Aug2019_final_Redacted.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10167BrigatinibNSCLC_Combined_PtGrp_COIs_Post_01Aug2019_final_Redacted.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10167BrigatinibNSCLC_FnRec_approvedbyChair_NOREDACT_Post_01AUG2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10167BrigatinibNSCLC_PAGFeedbackSummary_FINAL_Post_01Aug2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10167BrigatinibNSCLC_PatientFeedback_LCC_2019-06-14_Post_01Aug2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10167BrigatinibNSCLC_SubmitterFeedback_2019-06-14_Post_01Aug2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10167BrigatinibNSCLC_fnCGR_NOREDACT_POST01AUG2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10167BrigatinibNSCLC_fnEGR_NOREDACT-ABBREV_01AUG2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10167BrigatinibNSCLC_inRec_approvedbyChair_NOREDACT_Post_31May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr_provfund-10167-BrigatinibAlunbrig_NSCLC.pdf,NSCLC,Do not reimburse,Complete,"Dec 5, 2018","Aug 1, 2019",PC0167-000
keytruda melanoma adjuvant treatment,Keytruda,Pembrolizumab,https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10168PembolizumabMAT_PAGFeedbackSummary_FINAL_Post_01Aug2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10168PembrolizumabMAT_ClinicianFeedback_CCO_2019-06-14_Post_01Aug2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10168PembrolizumabMAT_Combined_Clinician_COIs_Post_01Aug2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10168PembrolizumabMAT_Combined_Patient_COIs_Post_01Aug2019_final_Redacted.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10168PembrolizumabMAT_FnRec_31%20July%202019__Post_01Aug2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10168PembrolizumabMAT_SubmitterFeedback_2019-06-12_Post_01Aug2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10168PembrolizumabMAT_fnCGR_REDACT_Post_01Aug2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10168PembrolizumabMAT_fnEGR_NOREDACT-ABBREV_Post_01Aug2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10168PembrolizumabMAT_inRec_approvedbyChair_Post_NOREDACT_31May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr_provfund-10168-PembrolizumabKeytruda_MAT.pdf,Melanoma Adjuvant Treatment,Reimburse with clinical criteria and/or conditions,Complete,"Dec 13, 2018","Aug 1, 2019",PC0168-000
patisiran,Onpattro,patisiran,https://www.cda-amc.ca/sites/default/files/cdr/clinical/sr0598-onpattro-clinical-review-report.pdf; https://www.cda-amc.ca/sites/default/files/cdr/complete/SR0598%20Onpattro%20-%20CDEC%20Final%20Recommendation%20July%2029%2C%202019%20for%20posting.pdf; https://www.cda-amc.ca/sites/default/files/cdr/pharmacoeconomic/sr0598-onpattro-pharmacoeconomic-review-report.pdf; https://www.cda-amc.ca/sites/default/files/cdr/relatedinfo/SR0598_Onpattro-patient-input.pdf,Polyneuropathy in hereditary transthyretin-mediated amyloidosis,Reimburse with clinical criteria and/or conditions,Complete,"Jan 25, 2019","Jul 25, 2019",SR0598-000
ulipristal acetate,Fibristal,ulipristal acetate,https://www.cda-amc.ca/sites/default/files/cdr/advice/sf0609-fibristal-request-for-advice-clinical-review-report.pdf; https://www.cda-amc.ca/sites/default/files/cdr/complete/SF0609%20Fibristal%20RfA%20-%20CDEC%20Final%20Recommendation%20July%2030%2C%202019_for%20posting.pdf; https://www.cda-amc.ca/sites/default/files/cdr/relatedinfo/SF0609%20Fibristal%20-%20Group%20Patient%20Input%20June%2028%2C%202019.pdf,Uterine fibroids (signs and symptoms),Reimburse with clinical criteria and/or conditions,Complete,"Mar 28, 2019","Jul 24, 2019",SF0609-000
latanoprostene bunod,Vyzulta,latanoprostene bunod,https://www.cda-amc.ca/sites/default/files/cdr/clinical/sr0590-vyzulta-clinical-review-report.pdf; https://www.cda-amc.ca/sites/default/files/cdr/complete/SR0590%20Vyzulta%20-%20CDEC%20Final%20Recommendation%20July%2026%2C%202019%20_for%20posting.pdf; https://www.cda-amc.ca/sites/default/files/cdr/pharmacoeconomic/sr0590-vyzulta-pharmacoeconomic-review-report.pdf; https://www.cda-amc.ca/sites/default/files/cdr/relatedinfo/sr0590-vyzulta-patient-input.pdf,Open-angle glaucoma or ocular hypertension,Reimburse with clinical criteria and/or conditions,Complete,"Nov 23, 2018","Jul 24, 2019",SR0590-000
lenvima hepatocellular carcinoma,Lenvima,Lenvatinib,https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10175LenvatinibHCC_Canadian%20Liver%20Foundation%20v2%202019-07-22_Post_24Jul2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10175LenvatinibHCC_ClinicianFeedback_BCCancer_2019-07-18_Post_24Jul2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10175LenvatinibHCC_Combined%20Clinician%20COIs_Post_24Jul2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10175LenvatinibHCC_CombinedPat_Post_24Jul2019_Redacted.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10175LenvatinibHCC_PAGFeedbackSummary_FINAL_Post_24Jul2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10175LenvatinibHCC_SubmitterFeedback_2019-07-19_Post_24Jul2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10175LenvatinibHCC_fnRec_2019-07-23_ApprovedByChair_Post_24Jul2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10175LenvatinibHCC_inCGR_NOREDACT_EarlyConv_Post_24Jul2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10175LenvatinibHCC_inEGR_NOREDACT-ABBREV_EarlyCon_Post_24Jul2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10175LenvatinibHCC_inRec_ApprovedByChair_NOREDACT_Post_05Jul2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-profund-10175-LenvatinibLenvima_HCC.pdf,Hepatocellular Carcinoma (HCC),Reimburse with clinical criteria and/or conditions,Complete,"Feb 8, 2019","Jul 24, 2019",PC0175-000
ninlaro multiple myeloma 2nd beyond,Ninlaro,Ixazomib,https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10164IxazomibMM_ClinicianFeedback_CCO_2019-05-16_Post_05Jul2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10164IxazomibMM_Combined%20COIs_Post_05Jul2019_final%20Redacted.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10164IxazomibMM_PAGFeedbackSummary_FINAL_Post_5Jul2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10164IxazomibMM_PatientFeedback_MC_2019-05-15_Post_05Jul2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10164IxazomibMM_Patient_COI_MC_2018-12-13_Post_05Jul2019_final_Redacted.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10164IxazomibMM_SubmitterFeedback_2019-05-17_Post_05Jul2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10164IxazomibMM_fnCGR_REDACT_Post_05Jul2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10164IxazomibMM_fnEGR_NOREDACT-ABBREV_Post_05Jul2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10164IxazomibMM_fnRec_2019-07-05_ChairApproved_Post_05Jul2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10164IxazomibMM_inRec_2019-05-03_Approved_Post_03May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-provfund-10164-ixazomib-ninlaro_mm2nd-beyond.pdf,Multiple Myeloma (2nd-beyond),Do not reimburse,Complete,"Nov 30, 2018","Jul 5, 2019",PC0164-000
abemaciclib advanced or metastatic breast cancer,Verzenio,Abemaciclib,https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10161AbemaciclibMBC_ClinicianFeedback_CCO_2019-05-16_Post_05Jul2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10161AbemaciclibMBC_Combined%20COIs_Post_05Jul2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10161AbemaciclibMBC_Combined%20Patient%20COIs_%20Post_05Jul2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10161AbemaciclibMBC_Combined%20PatientFeedback_Post_05Jul2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10161AbemaciclibMBC_PAGFeedbackSummary_FINAL_Post_05Jul2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10161AbemaciclibMBC_SubmitterFeedback_2019-05-17_Post_05Jul2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10161AbemaciclibMBC_fnCGR_NOREDACT_Post_05Jul2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10161AbemaciclibMBC_fnEGR_NOREDACT-ABBREV_Post_05Jul2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10161AbemaciclibMBC_fnRec_ApprovedbyChair_v01_2019-07-04_Post_05Jul2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10161AbemaciclibMBC_inRec_ApprovedbyChair_v01_Post_03May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-provfund-10161-AbemaciclibVerzenio_ABC.pdf,Metastatic Breast Cancer,Reimburse with clinical criteria and/or conditions,Complete,"Dec 3, 2018","Jul 5, 2019",PC0161-000
telotristat,Xermelo,telotristat,https://www.cda-amc.ca/sites/default/files/cdr/clinical/sr0580-xermelo-clinical-review-report.pdf; https://www.cda-amc.ca/sites/default/files/cdr/complete/SR0580%20Xermelo%20-%20CDEC%20Final%20Recommendation%20July%203%2C%202019_For%20Posting.pdf; https://www.cda-amc.ca/sites/default/files/cdr/pharmacoeconomic/sr0580-xermelo-pharmacoeconomic-review-report.pdf; https://www.cda-amc.ca/sites/default/files/cdr/relatedinfo/SR0580_telotristat_PI%20Submission.pdf,carcinoid syndrome,Do not reimburse,Complete,"Sep 27, 2018","Jun 26, 2019",SR0580-000
buprenorphine,Sublocade,buprenorphine,https://www.cda-amc.ca/sites/default/files/cdr/clinical/sr0579-sublocade-clinical-review-report.pdf; https://www.cda-amc.ca/sites/default/files/cdr/complete/SR0579%20Sublocade%20-%20CDEC%20Final%20Recommendation%20June%2021%2C%202019_for%20posting.pdf; https://www.cda-amc.ca/sites/default/files/cdr/pharmacoeconomic/sr0579-sublocade-pharmacoeconomic-review-report.pdf,"Opioid use disorder, treatment",Reimburse with clinical criteria and/or conditions,Complete,"Dec 20, 2018","Jun 19, 2019",SR0579-000
revlimid combo bortezomib dexamethasone newly diagnosed multiple myeloma,Revlimid,Lenalidomide,https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10141LenalidomideBorDexMM_ClinicianFeedback_CCO_2019-06-14__EC-Post_19Jun2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10141LenalidomideBorDexMM_Clinician_Combined_COIs_Post_19Jun2019_final_Redacted.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10141LenalidomideBorDexMM_PAGFeedbackSummary_FINAL__EC-Post_19Jun2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10141LenalidomideBorDexMM_PatientCOI_MC_2019-01-11_EC-Post_19Jun2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10141LenalidomideBorDexMM_SubmitterFeedback_2019-06-14_EC-Post_19Jun2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10141LenalidomideBorDexMM_fnCGR_REDACT_EC-Post_19Jun2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10141LenalidomideBorDexMM_fnEGR_NOREDACT-ABBREV_EC-Post_19Jun2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10141LenalidomideBorDexMM_fnRec_2019-06-19_ApprovedbyChair_EC-Post_19Jun2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/Reviews2019/10141LenalidomideBorDexMM_inRec_approvedbyChair_NOREDACT_Post_31May2019_final.pdf; https://www.cda-amc.ca/sites/default/files/pcodr/pcodr-provfund-10141-LenalidomideRevlimid_MM.pdf,Multiple Myeloma (+bortezomib+dex),Reimburse with clinical criteria and/or conditions,Complete,"Dec 21, 2018","Jun 19, 2019",PC0141-000
cysteamine,Cystadrops,cysteamine,https://www.cda-amc.ca/sites/default/files/cdr/clinical/sr0595-cystadrops-clinical-review-report.pdf; https://www.cda-amc.ca/sites/default/files/cdr/complete/SR0595%20Cystadrops%20-%20CDEC%20Final%20Recommendation%20June%2020%2C%202019_for%20posting.pdf; https://www.cda-amc.ca/sites/default/files/cdr/pharmacoeconomic/sr0595-cystadrops-pharmacoeconomic-review-report.pdf,Corneal cystine crystal deposits,Reimburse with clinical criteria and/or conditions,Complete,"Dec 10, 2018","Jun 18, 2019",SR0595-000
